Index	Reagents	Products	Rule
138_1	['C(C(C)=O)(O)=O', 'C(CC(C)O)=O']	['C(C(C(C)O)C(C(O)=O)(C)O)=O']	Knoevenagel C
140_0	['C(C(C)=O)(O)=O', 'C(CC(O)=O)=O']	['C(CC(CC(C(O)=O)=O)O)(O)=O']	Aldol Condensation
141_0	['C(C(C)=O)(O)=O', 'C(CC(O)=O)=O']	['C(C(C=O)C(C(O)=O)(C)O)(O)=O']	Aldol Condensation
141_1	['C(C(C)=O)(O)=O', 'C(CC(O)=O)=O']	['C(C(C=O)C(C(O)=O)(C)O)(O)=O']	Knoevenagel C
143_0	['C(C(C)=O)(O)=O', 'C(C(CO)=O)=O']	['C(CO)(C(CC(C(O)=O)=O)O)=O']	Aldol Condensation
145_0	['C(C(C)=O)(O)=O', 'C(C(CO)=O)=O']	['C(C(CO)(CC(C(O)=O)=O)O)=O']	Aldol Condensation
147_0	['C(C(C)=O)(O)=O', 'C(C(CO)=O)=O']	['C(C(C)(C(C(C=O)=O)O)O)(O)=O']	Aldol Condensation
147_1	['C(C(C)=O)(O)=O', 'C(C(CO)=O)=O']	['C(C(C)(C(C(C=O)=O)O)O)(O)=O']	Knoevenagel H
149_0	['C(C(C)=O)(O)=O', 'C=O']	['C(C(CCO)=O)(O)=O']	Aldol Condensation
150_0	['O', 'C(C(O)=O)(CC(C(C)=O)=O)=O']	['C(C(C)(CC(C(O)=O)=O)O)(O)=O']	Benzilic Acid Rearrangement
151_0	['O', 'C(C(CO)=O)=O']	['C(C(CO)O)(O)=O']	Benzilic Acid Rearrangement
151_1	['O', 'C(C(CO)=O)=O']	['C(C(CO)O)(O)=O']	Cannizarro 1
153_0	['C(C(C)(CC=O)O)(O)=O']	['O', 'C(CC(C(C)=O)=O)=O']	Benzilic Acid Rearrangement (inverse)
155_0	['C(C(CO)(C(C)O)O)(O)=O']	['O', 'C(C(CO)=O)(C(C)O)=O']	Benzilic Acid Rearrangement (inverse)
157_0	['C(C(C(O)=O)(CO)O)(O)=O']	['O', 'C(C(C(CO)=O)=O)(O)=O']	Benzilic Acid Rearrangement (inverse)
159_0	['C(C(CO)(C(C(O)=O)(C)O)O)(O)=O']	['O', 'C(C(C(C(C)=O)=O)(CO)O)(O)=O']	Benzilic Acid Rearrangement (inverse)
161_0	['C(C(CO)(C(C(O)=O)(C)O)O)(O)=O']	['O', 'C(C(C(C(CO)=O)=O)(C)O)(O)=O']	Benzilic Acid Rearrangement (inverse)
163_0	['C(CO)(O)=O']	['O', 'C(C=O)=O']	Benzilic Acid Rearrangement (inverse)
164_0	['C(C(C)(C(C(C(O)=O)O)O)O)(O)=O']	['O', 'C(C(C)(C(C(C=O)=O)O)O)(O)=O']	Benzilic Acid Rearrangement (inverse)
166_0	['C(C(C)(C(C(C(O)=O)O)O)O)(O)=O']	['O', 'C(C(C(C(C(C)=O)=O)O)O)(O)=O']	Benzilic Acid Rearrangement (inverse)
167_0	['C1(C(C)(CC(C(O)=O)(O)O1)O)=O']	['O', 'C1(C(C)(CC(C(O1)=O)=O)O)=O']	Benzilic Acid Rearrangement (inverse)
168_0	['C(CC(C)O)=O']	['C(C)=O', 'C(C)=O']	Retro Aldol
169_0	['C(CC(O)=O)=O']	['C(C)=O', 'C(=O)=O']	Retro Aldol
169_1	['C(CC(O)=O)=O']	['C(C)=O', 'C(=O)=O']	Beta Decarboxylation
170_0	['C(C(CC(C)O)=O)(O)=O']	['C(C(C)=O)(O)=O', 'C(C)=O']	Retro Aldol
171_0	['C(C(C)(CC=O)O)(O)=O']	['C(C(C)=O)(O)=O', 'C(C)=O']	Retro Aldol
172_0	['C(CC(C(O)=O)=O)(O)=O']	['C(C(C)=O)(O)=O', 'C(=O)=O']	Retro Aldol
172_1	['C(CC(C(O)=O)=O)(O)=O']	['C(C(C)=O)(O)=O', 'C(=O)=O']	Beta Decarboxylation
173_0	['C(C(CO)=O)=O']	['C=O', 'C(C=O)=O']	Retro Aldol
175_0	['C1(C(C)(CC(C(O1)=O)=O)O)=O']	['C(C(C)=O)(OC(C(C)=O)=O)=O']	Retro Aldol
177_0	['C(C(CO)=O)=O']	['C(C(C=O)O)=O']	Keto-enol migration twice
180_0	['O', 'C(CC(C)O)=O', 'C=O']	['CC(CCO)O', 'C(O)=O']	Cannizarro 2, HCHO (oxidation)
182_0	['O', 'C(CC(O)=O)=O', 'C=O']	['C(O)=O', 'C(CCO)(O)=O']	Cannizarro 2, HCHO (oxidation)
184_0	['O', 'C(C(C)(CC=O)O)(O)=O', 'C=O']	['C(O)=O', 'C(C(C)(CCO)O)(O)=O']	Cannizarro 2, HCHO (oxidation)
186_0	['O', 'C(C(CO)=O)=O', 'C=O']	['C(O)=O', 'C(CO)(CO)=O']	Cannizarro 2, HCHO (oxidation)
188_0	['O', 'C=O', 'C=O']	['C(O)=O', 'CO']	Cannizarro 2, HCHO (oxidation)
188_1	['O', 'C=O', 'C=O']	['C(O)=O', 'CO']	Cannizarro 2, HCHO (reduction)
190_0	['O', 'C(C)=O', 'C=O']	['C(O)=O', 'CCO']	Cannizarro 2, HCHO (oxidation)
192_0	['O', 'C(CC(C)O)=O', 'C=O']	['CO', 'C(CC(C)O)(O)=O']	Cannizarro 2, HCHO (reduction)
194_0	['O', 'C(CC(O)=O)=O', 'C=O']	['CO', 'C(CC(O)=O)(O)=O']	Cannizarro 2, HCHO (reduction)
196_0	['O', 'C(C(C)(CC=O)O)(O)=O', 'C=O']	['CO', 'C(C(C)(CC(O)=O)O)(O)=O']	Cannizarro 2, HCHO (reduction)
198_0	['O', 'C(C(CO)=O)=O', 'C=O']	['CO', 'C(C(CO)=O)(O)=O']	Cannizarro 2, HCHO (reduction)
200_0	['O', 'C(C)=O', 'C=O']	['CO', 'C(C)(O)=O']	Cannizarro 2, HCHO (reduction)
202_0	['C(C(CO)O)(O)=O', 'C(CC(C)O)=O']	['C(C(CO)(C(CC(C)O)O)O)(O)=O']	Knoevenagel C
202_1	['C(C(CO)O)(O)=O', 'C(CC(C)O)=O']	['C(C(CO)(C(CC(C)O)O)O)(O)=O']	Knoevenagel H
204_0	['C(C(CO)O)(O)=O', 'C(CC(O)=O)=O']	['C(C(CO)(C(CC(O)=O)O)O)(O)=O']	Knoevenagel C
204_1	['C(C(CO)O)(O)=O', 'C(CC(O)=O)=O']	['C(C(CO)(C(CC(O)=O)O)O)(O)=O']	Knoevenagel H
206_0	['C(C(CO)O)(O)=O', 'C(C(CO)=O)=O']	['C(C(CO)(C(C(CO)=O)O)O)(O)=O']	Knoevenagel C
206_1	['C(C(CO)O)(O)=O', 'C(C(CO)=O)=O']	['C(C(CO)(C(C(CO)=O)O)O)(O)=O']	Knoevenagel H
208_0	['C(C(CO)O)(O)=O', 'C(C(CO)=O)=O']	['C(C(CO)(C(C=O)(CO)O)O)(O)=O']	Knoevenagel C
208_1	['C(C(CO)O)(O)=O', 'C(C(CO)=O)=O']	['C(C(CO)(C(C=O)(CO)O)O)(O)=O']	Knoevenagel H
210_0	['C(C(CO)O)(O)=O', 'C=O']	['C(C(CO)(CO)O)(O)=O']	Knoevenagel C
210_1	['C(C(CO)O)(O)=O', 'C=O']	['C(C(CO)(CO)O)(O)=O']	Knoevenagel H
212_0	['C(CC(C)O)=O', 'C(CO)(O)=O']	['C(C(C(CC(C)O)O)O)(O)=O']	Knoevenagel H
214_0	['C(CC(O)=O)=O', 'C(CO)(O)=O']	['C(CC(C(C(O)=O)O)O)(O)=O']	Knoevenagel H
216_0	['C(C(CO)=O)=O', 'C(CO)(O)=O']	['C(C(C(C(CO)=O)O)O)(O)=O']	Knoevenagel H
218_0	['C(C(CO)=O)=O', 'C(CO)(O)=O']	['C(C(CO)(C(C(O)=O)O)O)=O']	Knoevenagel H
219_0	['C=O', 'C(CO)(O)=O']	['C(C(CO)O)(O)=O']	Knoevenagel H
221_0	['C(C)=O', 'C(CO)(O)=O']	['C(C(C(C)O)O)(O)=O']	Knoevenagel H
223_0	['C(=O)=O', 'C(CO)(O)=O']	['C(C(C(O)=O)O)(O)=O']	Knoevenagel H
225_0	['C(C(C)=O)(O)=O', 'C(CO)(O)=O']	['C(C(C)(C(C(O)=O)O)O)(O)=O']	Knoevenagel H
226_0	['C(C(CO)(C(C)O)O)(O)=O']	['C=O', 'C(C(C(C)O)O)(O)=O']	Knoevenagel C (inverse)
226_1	['C(C(CO)(C(C)O)O)(O)=O']	['C=O', 'C(C(C(C)O)O)(O)=O']	Knoevenagel H (inv)
227_0	['C(C(CO)(C(C)O)O)(O)=O']	['C(C(CO)O)(O)=O', 'C(C)=O']	Knoevenagel C (inverse)
227_1	['C(C(CO)(C(C)O)O)(O)=O']	['C(C(CO)O)(O)=O', 'C(C)=O']	Knoevenagel H (inv)
228_0	['C(C(C(O)=O)(CO)O)(O)=O']	['C=O', 'C(C(C(O)=O)O)(O)=O']	Knoevenagel C (inverse)
228_1	['C(C(C(O)=O)(CO)O)(O)=O']	['C=O', 'C(C(C(O)=O)O)(O)=O']	Knoevenagel H (inv)
229_0	['C(C(CO)(C(C(O)=O)(C)O)O)(O)=O']	['C(C(C)=O)(O)=O', 'C(C(CO)O)(O)=O']	Knoevenagel C (inverse)
229_1	['C(C(CO)(C(C(O)=O)(C)O)O)(O)=O']	['C(C(C)=O)(O)=O', 'C(C(CO)O)(O)=O']	Knoevenagel H (inv)
230_0	['C(C(CO)(C(C(O)=O)(C)O)O)(O)=O']	['C=O', 'C(C(C)(C(C(O)=O)O)O)(O)=O']	Knoevenagel C (inverse)
230_1	['C(C(CO)(C(C(O)=O)(C)O)O)(O)=O']	['C=O', 'C(C(C)(C(C(O)=O)O)O)(O)=O']	Knoevenagel H (inv)
232_0	['C(C(CO)(C(C(O)=O)(C)O)O)(O)=O']	['C(C(CO)=O)(O)=O', 'C(C(C)O)(O)=O']	Knoevenagel H (inv)
234_0	['C(C(C)(C(C(C(O)=O)O)O)O)(O)=O']	['C(CO)(O)=O', 'C(C(C=O)(C)O)(O)=O']	Knoevenagel H (inv)
236_0	['C(C(C)(C(C(C(O)=O)O)O)O)(O)=O']	['C(C(C)O)(O)=O', 'C(C(C=O)O)(O)=O']	Knoevenagel H (inv)
237_0	['C(C(CO)(C(C)O)O)(O)=O']	['O', 'C(C(C=O)C(C)O)(O)=O']	Elimination + enol to keto
239_0	['C(C(CO)(C(C)O)O)(O)=O']	['O', 'C(C(C(C)=O)CO)(O)=O']	Elimination + enol to keto
240_0	['C(C(C(O)=O)(CO)O)(O)=O']	['O', 'C(C(C(O)=O)C(O)=O)=O']	Elimination + enol to keto
241_0	['C(C(CO)(C(C(O)=O)(C)O)O)(O)=O']	['O', 'C(C(C=O)C(C(O)=O)(C)O)(O)=O']	Elimination + enol to keto
243_0	['C(C(C)(C(C(C(O)=O)O)O)O)(O)=O']	['O', 'C(C(C(CC(O)=O)=O)(C)O)(O)=O']	Elimination + enol to keto
245_0	['C(C(C)(C(C(C(O)=O)O)O)O)(O)=O']	['O', 'C(C(C(C(C(O)=O)O)=O)C)(O)=O']	Elimination + enol to keto
246_0	['C(C(C)(C(C(C(O)=O)O)O)O)(O)=O']	['O', 'C(C(C)(CC(C(O)=O)=O)O)(O)=O']	Elimination + enol to keto
247_0	['C(CO)O']	['O', 'C(C)=O']	Elimination + enol to keto
249_0	['C(CC(C)O)=O']	['O', 'C(C)=CC=O']	Elimination2
251_0	['C(CC(C)O)=O']	['O', 'C(CC=C)=O']	Elimination2
253_0	['C(C(CC(C)O)=O)(O)=O']	['O', 'C(C)=CC(C(O)=O)=O']	Elimination2
255_0	['C(C(CC(C)O)=O)(O)=O']	['O', 'C=CCC(C(O)=O)=O']	Elimination2
257_0	['C(C(C)(CC=O)O)(O)=O']	['O', 'C(CC(C(O)=O)=C)=O']	Elimination2
259_0	['C(C(C)(CC=O)O)(O)=O']	['O', 'C(C=C(C(O)=O)C)=O']	Elimination2
261_0	['C(C(CO)(C(C)O)O)(O)=O']	['O', 'C(C(C=C)(CO)O)(O)=O']	Elimination2
263_0	['C(C(CO)(C(C(O)=O)(C)O)O)(O)=O']	['O', 'C(C(C(C(O)=O)=C)(CO)O)(O)=O']	Elimination2
265_0	['C(C(C)(C(C(C(O)=O)O)O)O)(O)=O']	['O', 'C(C(C(C(C(O)=O)=C)O)O)(O)=O']	Elimination2
267_0	['C1(C(C)(CC(C(O)=O)(O)O1)O)=O']	['O', 'C1(C(C=C(C(O)=O)O1)(C)O)=O']	Elimination2
269_0	['C1(C(C)(CC(C(O)=O)(O)O1)O)=O']	['O', 'C(C1(C=C(C(O1)=O)C)O)(O)=O']	Elimination2
271_0	['C1(C(C)(CC(C(O)=O)(O)O1)O)=O']	['O', 'C(C1(CC(C(O1)=O)=C)O)(O)=O']	Elimination2
273_0	['C1(C(C)(CC(C(O1)=O)=O)O)=O']	['O', 'C1(C(C)=CC(C(O1)=O)=O)=O']	Elimination2
275_0	['C1(C(C)(CC(C(O1)=O)=O)O)=O']	['O', 'C=C1C(OC(C(C1)=O)=O)=O']	Elimination2
277_0	['O', 'C(CC(C)O)=O']	['CC(C(CO)O)O']	Hydration of C(=O)C
278_0	['O', 'C(CC(O)=O)=O']	['C(C(CO)O)(O)=O']	Hydration of C(=O)C
280_0	['O', 'C(C(CC(C)O)=O)(O)=O']	['C(C(C(C(C)O)O)O)(O)=O']	Hydration of C(=O)C
282_0	['O', 'C(C(C)(CC=O)O)(O)=O']	['C(C(C)(C(CO)O)O)(O)=O']	Hydration of C(=O)C
