Generation	Inchi	Smiles	Pathway
G2	WITVYMTUWTVRND	C(C(C(CN)O)O)(O)=O	['C(C(C(CN)O)O)(O)=O', ['82_0', 'Knoevenagel H'], 'C(CN)=O', ['10_0', 'Amadori/Heyns Rearrangement'], 'N']
G2	KXMAOQJMLAAVJY	C(C(C(CO)N)O)=O	['C(C(C(CO)N)O)=O', ['106_0', 'Mannich Addition'], 'N']
G2	FMAORJIQYMIRHF	C1C(C(C(O)O1)O)O	['C1C(C(C(O)O1)O)O', ['108_0', 'Hemiacetal Formation for 5 membered rings'], 'C(C(C(CO)O)O)=O', ['7_0', 'Aldol Condensation'], 'C(CO)=O']
G2	RNZJRDIKDNXKIJ	C(C(C(C(CO)O)O)N)=O	['C(C(C(C(CO)O)O)N)=O', ['19_0', 'Aldol Condensation'], 'C(C(CO)O)=O', ['5_0', 'Aldol Condensation'], 'C=O']
G2	FZHXIRIBWMQPQF	C(C(C(C(C(CO)O)O)O)N)=O	['C(C(C(C(C(CO)O)O)O)N)=O', ['21_0', 'Aldol Condensation'], 'C(C(C(CO)O)O)=O', ['7_0', 'Aldol Condensation'], 'C(CO)=O']
G2	QSBOQJCOHPCHRB	C(C(C(CN)O)N)=O	['C(C(C(CN)O)N)=O', ['23_0', 'Aldol Condensation'], 'C(CN)=O', ['10_0', 'Amadori/Heyns Rearrangement'], 'N']
G2	JIDVIMQFVJVPPX	C(C(C(CN)O)O)=O	['C(C(C(CN)O)O)=O', ['31_0', 'Aldol Condensation'], 'C(CO)=O']
G2	UQNPMNUVBRVOCQ	C(C(C(CO)O)N)=O	['C(C(C(CO)O)N)=O', ['33_0', 'Aldol Condensation'], 'C(CO)=O']
G2	UAOKRFJFLAUQNR	C(CNCC=O)(C(CO)O)=O	['C(CNCC=O)(C(CO)O)=O', ['45_0', 'Amadori/Heyns Rearrangement'], 'C(C(C(CO)O)O)=O', ['7_0', 'Aldol Condensation'], 'C(CO)=O']
G2	WZDHWMRAASHPBX	C(CN)(C(CO)O)=O	['C(CN)(C(CO)O)=O', ['49_0', 'Amadori/Heyns Rearrangement'], 'N']
G2	MMZWUQKSIXGQLM	C(C(CO)(C(CN)O)O)=O	['C(C(CO)(C(CN)O)O)=O', ['67_0', 'Knoevenagel C'], 'C(C(CO)O)=O', ['5_0', 'Aldol Condensation'], 'C=O']
G2	MGKXNCNVFOFGIA	C(C(C(CO)O)(C(CN)O)O)=O	['C(C(C(CO)O)(C(CN)O)O)=O', ['69_0', 'Knoevenagel C'], 'C(C(C(CO)O)O)=O', ['7_0', 'Aldol Condensation'], 'C(CO)=O']
G2	WITVYMTUWTVRND	C(C(C(CN)O)O)(O)=O	['C(C(C(CN)O)O)(O)=O', ['82_0', 'Knoevenagel H'], 'C(CN)=O', ['10_0', 'Amadori/Heyns Rearrangement'], 'N']
G2	GECVMGDGBBOZSR	C(C(C(CO)NCC=O)O)=O	['C(C(C(CO)NCC=O)O)=O', ['102_0', 'Mannich Addition'], 'C(C(C(CO)O)O)=O', ['7_0', 'Aldol Condensation'], 'C(CO)=O']
G2	KXMAOQJMLAAVJY	C(C(C(CO)N)O)=O	['C(C(C(CO)N)O)=O', ['106_0', 'Mannich Addition'], 'N']
G3	TYEPXMQCSLBUQN	C(C(C=O)C(C(CO)N)O)=O	['C(C(C=O)C(C(CO)N)O)=O', ['132_0', 'Aldol Condensation'], 'C(C(CO)N)=O', ['25_0', 'Aldol Condensation'], 'C=O']
G3	XGYVTXGBKAEKSN	C(C(CC(C(CO)N)O)=O)=O	['C(C(CC(C(CO)N)O)=O)=O', ['134_0', 'Aldol Condensation'], 'C(C(CO)N)=O', ['25_0', 'Aldol Condensation'], 'C=O']
G3	REQIOPDLGNSWSP	C(CC(C(CO)N)O)=O	['C(CC(C(CO)N)O)=O', ['146_0', 'Aldol Condensation'], 'C(C(CO)N)=O', ['25_0', 'Aldol Condensation'], 'C=O']
G3	SKHQXBWWPZVTBL	C(CC(C(C(CN)O)O)O)=O	['C(CC(C(C(CN)O)O)O)=O', ['154_0', 'Aldol Condensation'], 'C(C(C(CN)O)O)=O', ['31_0', 'Aldol Condensation'], 'C(CO)=O']
G3	WCLOIEVAMMWGKD	C(CC(C(C(CO)O)N)O)=O	['C(CC(C(C(CO)O)N)O)=O', ['160_0', 'Aldol Condensation'], 'C(C(C(CO)O)N)=O', ['33_0', 'Aldol Condensation'], 'C(CO)=O']
G3	XIIKTJZKWRJKSI	C(C(C(C(CO)=O)O)O)=O	['C(C(C(C(CO)=O)O)O)=O', ['162_0', 'Aldol Condensation'], 'C(C=O)=O', ['35_0', 'Benzilic Acid Rearrangement (inverse)'], 'C(CO)(O)=O', ['17_0', 'Cannizarro 2, HCHO (reduction)'], 'C=O']
G3	YRBZBJHRIGQRSX	C(C(C(C(CN)=O)O)O)=O	['C(C(C(C(CN)=O)O)O)=O', ['172_0', 'Aldol Condensation'], 'C(C=O)=O', ['35_0', 'Benzilic Acid Rearrangement (inverse)'], 'C(CO)(O)=O', ['17_0', 'Cannizarro 2, HCHO (reduction)'], 'C=O']
G3	QWVSJAOISGILAV	C(C(C(C(CO)=O)N)O)=O	['C(C(C(C(CO)=O)N)O)=O', ['174_0', 'Aldol Condensation'], 'C(C=O)=O', ['35_0', 'Benzilic Acid Rearrangement (inverse)'], 'C(CO)(O)=O', ['17_0', 'Cannizarro 2, HCHO (reduction)'], 'C=O']
G3	DPJVCISCLBZLDP	C(CC(C(C(CO)=O)O)O)=O	['C(CC(C(C(CO)=O)O)O)=O', ['209_0', 'Aldol Condensation'], 'C(CO)(CO)=O', ['39_0', 'Keto-enol migration twice'], 'C(C(CO)O)=O', ['5_0', 'Aldol Condensation'], 'C=O']
G3	HWDQZMAZCTUFGO	C(C(C=O)C(CO)(CO)O)=O	['C(C(C=O)C(CO)(CO)O)=O', ['211_0', 'Aldol Condensation'], 'C(CO)(CO)=O', ['39_0', 'Keto-enol migration twice'], 'C(C(CO)O)=O', ['5_0', 'Aldol Condensation'], 'C=O']
G3	HCDKHGUYCIRFGC	C(C(C)(C(C(CO)=O)O)O)=O	['C(C(C)(C(C(CO)=O)O)O)=O', ['213_0', 'Aldol Condensation'], 'C(CO)(CO)=O', ['39_0', 'Keto-enol migration twice'], 'C(C(CO)O)=O', ['5_0', 'Aldol Condensation'], 'C=O']
G3	KFHNTUHHTDAEOF	C(C)(C(C(C(CO)=O)O)O)=O	['C(C)(C(C(C(CO)=O)O)O)=O', ['215_0', 'Aldol Condensation'], 'C(CO)(CO)=O', ['39_0', 'Keto-enol migration twice'], 'C(C(CO)O)=O', ['5_0', 'Aldol Condensation'], 'C=O']
G3	GBYNVYGBOCCFCK	C(C(CC(CO)(CO)O)=O)=O	['C(C(CC(CO)(CO)O)=O)=O', ['217_0', 'Aldol Condensation'], 'C(CO)(CO)=O', ['39_0', 'Keto-enol migration twice'], 'C(C(CO)O)=O', ['5_0', 'Aldol Condensation'], 'C=O']
G3	MRKRITSFTIHTAQ	C(CO)(C(C(C)O)O)=O	['C(CO)(C(C(C)O)O)=O', ['245_0', 'Aldol Condensation'], 'C(CO)(CO)=O', ['39_0', 'Keto-enol migration twice'], 'C(C(CO)O)=O', ['5_0', 'Aldol Condensation'], 'C=O']
G3	RLJYTLNHFAJLAE	C(CC(CO)(CO)O)=O	['C(CC(CO)(CO)O)=O', ['247_0', 'Aldol Condensation'], 'C(CO)(CO)=O', ['39_0', 'Keto-enol migration twice'], 'C(C(CO)O)=O', ['5_0', 'Aldol Condensation'], 'C=O']
G3	IWASYLACXSGJPG	C(C(C(C)O)O)(C(CO)O)=O	['C(C(C(C)O)O)(C(CO)O)=O', ['261_0', 'Aldol Condensation'], 'C(CO)(C(CO)O)=O', ['41_0', 'Keto-enol migration twice'], 'C(C(C(CO)O)O)=O', ['7_0', 'Aldol Condensation'], 'C(CO)=O']
G3	IDBTYBMNHBMAOU	C(CC(CO)(C(CO)O)O)=O	['C(CC(CO)(C(CO)O)O)=O', ['263_0', 'Aldol Condensation'], 'C(CO)(C(CO)O)=O', ['41_0', 'Keto-enol migration twice'], 'C(C(C(CO)O)O)=O', ['7_0', 'Aldol Condensation'], 'C(CO)=O']
G3	RWAJAMVSHPQTTE	C(CC(C(C(CN)=O)O)O)=O	['C(CC(C(C(CN)=O)O)O)=O', ['285_0', 'Aldol Condensation'], 'C(CO)(CN)=O', ['47_0', 'Amadori/Heyns Rearrangement'], 'N']
G3	OEVVJWOUJIUREO	C(CC(C(C(CO)=O)N)O)=O	['C(CC(C(C(CO)=O)N)O)=O', ['287_0', 'Aldol Condensation'], 'C(CO)(CN)=O', ['47_0', 'Amadori/Heyns Rearrangement'], 'N']
G3	ZFLFRQNBEVKBDV	C(C(C=O)C(CO)(CN)O)=O	['C(C(C=O)C(CO)(CN)O)=O', ['289_0', 'Aldol Condensation'], 'C(CO)(CN)=O', ['47_0', 'Amadori/Heyns Rearrangement'], 'N']
G3	FHYSZSPWXQFGGH	C(C(C)(C(C(CN)=O)O)O)=O	['C(C(C)(C(C(CN)=O)O)O)=O', ['291_0', 'Aldol Condensation'], 'C(CO)(CN)=O', ['47_0', 'Amadori/Heyns Rearrangement'], 'N']
G3	MSKONFCVYLNJPN	C(C(C)(C(C(CO)=O)N)O)=O	['C(C(C)(C(C(CO)=O)N)O)=O', ['293_0', 'Aldol Condensation'], 'C(CO)(CN)=O', ['47_0', 'Amadori/Heyns Rearrangement'], 'N']
G3	SQOIZOFSPPKOGH	C(C)(C(C(C(CN)=O)O)O)=O	['C(C)(C(C(C(CN)=O)O)O)=O', ['295_0', 'Aldol Condensation'], 'C(CO)(CN)=O', ['47_0', 'Amadori/Heyns Rearrangement'], 'N']
G3	QZRMXSVZXCRGAO	C(CO)(C(C(C(C)=O)O)N)=O	['C(CO)(C(C(C(C)=O)O)N)=O', ['297_0', 'Aldol Condensation'], 'C(CO)(CN)=O', ['47_0', 'Amadori/Heyns Rearrangement'], 'N']
G3	OMPVMQXVAIVXEY	C(C(CC(CO)(CN)O)=O)=O	['C(C(CC(CO)(CN)O)=O)=O', ['299_0', 'Aldol Condensation'], 'C(CO)(CN)=O', ['47_0', 'Amadori/Heyns Rearrangement'], 'N']
G3	PPFTYFJBDQDNLS	C(CN)(C(C(C)O)O)=O	['C(CN)(C(C(C)O)O)=O', ['343_0', 'Aldol Condensation'], 'C(CO)(CN)=O', ['47_0', 'Amadori/Heyns Rearrangement'], 'N']
G3	CXFDMCGOFSDJFK	C(CO)(C(C(C)O)N)=O	['C(CO)(C(C(C)O)N)=O', ['345_0', 'Aldol Condensation'], 'C(CO)(CN)=O', ['47_0', 'Amadori/Heyns Rearrangement'], 'N']
G3	BCDIGRSIKYETOL	C(CC(CO)(CN)O)=O	['C(CC(CO)(CN)O)=O', ['347_0', 'Aldol Condensation'], 'C(CO)(CN)=O', ['47_0', 'Amadori/Heyns Rearrangement'], 'N']
G3	VHAPTBUJKSFOAY	C(C(CO)O)(C(C(C)O)N)=O	['C(C(CO)O)(C(C(C)O)N)=O', ['363_0', 'Aldol Condensation'], 'C(CN)(C(CO)O)=O', ['49_0', 'Amadori/Heyns Rearrangement'], 'N']
G3	LBTUWKWHCNBHBP	C(CC(CN)(C(CO)O)O)=O	['C(CC(CN)(C(CO)O)O)=O', ['365_0', 'Aldol Condensation'], 'C(CN)(C(CO)O)=O', ['49_0', 'Amadori/Heyns Rearrangement'], 'N']
G3	HQMRFNOKWQUHQC	C(CC(C(CO)(CO)O)O)=O	['C(CC(C(CO)(CO)O)O)=O', ['389_0', 'Aldol Condensation'], 'C(C(CO)(CO)O)=O', ['71_0', 'Knoevenagel C'], 'C=O']
G3	VPCLNTDBLHAJNA	C(C(C=O)C(C(CN)O)O)=O	['C(C(C=O)C(C(CN)O)O)=O', ['431_0', 'Aldol Condensation'], 'C(CC=O)=O', ['86_0', 'Elimination + enol to keto'], 'C(C(CO)O)=O', ['5_0', 'Aldol Condensation'], 'C=O']
G3	KEZKOUJRKCLMLA	C(C(CC(C(CN)O)O)=O)=O	['C(C(CC(C(CN)O)O)=O)=O', ['481_0', 'Aldol Condensation'], 'C(C(C)=O)=O', ['88_0', 'Elimination + enol to keto'], 'C(C(CO)O)=O', ['5_0', 'Aldol Condensation'], 'C=O']
G3	GRAYIZYZTZDMHO	C(CC(C(CN)O)O)=O	['C(CC(C(CN)O)O)=O', ['529_0', 'Aldol Condensation'], 'C(C)=O', ['98_0', 'Elimination + enol to keto'], 'C(CO)O', ['15_0', 'Cannizarro 2, HCHO (oxidation)'], 'C=O']
G3	MYNDUSHUEWHKOA	C(CC(C(C(CO)N)O)O)=O	['C(CC(C(C(CO)N)O)O)=O', ['531_0', 'Aldol Condensation'], 'C(C)=O', ['98_0', 'Elimination + enol to keto'], 'C(CO)O', ['15_0', 'Cannizarro 2, HCHO (oxidation)'], 'C=O']
G3	AKTMIDGTSNJTSP	C(C(C=O)C(C(CO)O)O)=O	['C(C(C=O)C(C(CO)O)O)=O', ['541_0', 'Aldol Condensation'], 'C(C(CO)O)=O', ['5_0', 'Aldol Condensation'], 'C=O']
G3	ZGCHLOWZNKRZSN	C(C(CC(C(CO)O)O)=O)=O	['C(C(CC(C(CO)O)O)=O)=O', ['543_0', 'Aldol Condensation'], 'C(C(CO)O)=O', ['5_0', 'Aldol Condensation'], 'C=O']
G3	ASJSAQIRZKANQN	C(CC(C(CO)O)O)=O	['C(CC(C(CO)O)O)=O', ['555_0', 'Aldol Condensation'], 'C(C(CO)O)=O', ['5_0', 'Aldol Condensation'], 'C=O']
G3	VRYALKFFQXWPIH	C(CC(C(C(CO)O)O)O)=O	['C(CC(C(C(CO)O)O)O)=O', ['561_0', 'Aldol Condensation'], 'C(C(C(CO)O)O)=O', ['7_0', 'Aldol Condensation'], 'C(CO)=O']
G3	ZSXYDPAMQLXZSJ	C(C(C(CO)(CO)O)N)=O	['C(C(C(CO)(CO)O)N)=O', ['573_0', 'Aldol Condensation'], 'C(CN)=O', ['10_0', 'Amadori/Heyns Rearrangement'], 'N']
G3	NSKJHRGIUMZEHF	C(CO)(C(C(CN)O)O)=O	['C(CO)(C(C(CN)O)O)=O', ['575_0', 'Aldol Condensation'], 'C(CN)=O', ['10_0', 'Amadori/Heyns Rearrangement'], 'N']
G3	ODILWJGXAOWKPR	C(C(CCO)(C(C=O)N)O)=O	['C(C(CCO)(C(C=O)N)O)=O', ['617_0', 'Aldol Condensation'], 'C(CN)=O', ['10_0', 'Amadori/Heyns Rearrangement'], 'N']
G3	RBDNNFSBBBQPHT	C(C(C(C(CCO)=O)O)N)=O	['C(C(C(C(CCO)=O)O)N)=O', ['619_0', 'Aldol Condensation'], 'C(CN)=O', ['10_0', 'Amadori/Heyns Rearrangement'], 'N']
G3	KAYFMIAIBMIIQD	C(C(C(CO)C(CN)O)=O)=O	['C(C(C(CO)C(CN)O)=O)=O', ['621_0', 'Aldol Condensation'], 'C(CN)=O', ['10_0', 'Amadori/Heyns Rearrangement'], 'N']
G3	YBOLBHFYGABWMJ	C(CC(C(C(C=O)N)O)O)=O	['C(CC(C(C(C=O)N)O)O)=O', ['623_0', 'Aldol Condensation'], 'C(CN)=O', ['10_0', 'Amadori/Heyns Rearrangement'], 'N']
G3	AHGCTZMUBPZLOK	C(C(C(CC(C=O)O)O)N)=O	['C(C(C(CC(C=O)O)O)N)=O', ['625_0', 'Aldol Condensation'], 'C(CN)=O', ['10_0', 'Amadori/Heyns Rearrangement'], 'N']
G3	RWMSZEVIXBQAJL	C(C(C(CN)O)C(C=O)O)=O	['C(C(C(CN)O)C(C=O)O)=O', ['627_0', 'Aldol Condensation'], 'C(CN)=O', ['10_0', 'Amadori/Heyns Rearrangement'], 'N']
G3	VNBYXOQOCGWZFJ	C(C(C(CC(CO)=O)O)N)=O	['C(C(C(CC(CO)=O)O)N)=O', ['629_0', 'Aldol Condensation'], 'C(CN)=O', ['10_0', 'Amadori/Heyns Rearrangement'], 'N']
G3	WKIWQZKYQRMNFP	C(CC(CO)(C(C=O)N)O)=O	['C(CC(CO)(C(C=O)N)O)=O', ['631_0', 'Aldol Condensation'], 'C(CN)=O', ['10_0', 'Amadori/Heyns Rearrangement'], 'N']
G3	DCWPTWSYZMWKIL	C(C(C(CO)=O)C(CN)O)=O	['C(C(C(CO)=O)C(CN)O)=O', ['633_0', 'Aldol Condensation'], 'C(CN)=O', ['10_0', 'Amadori/Heyns Rearrangement'], 'N']
G3	VMCCARNNUOIRPT	C(CC(C(C(CN)O)O)=O)=O	['C(CC(C(C(CN)O)O)=O)=O', ['635_0', 'Aldol Condensation'], 'C(CN)=O', ['10_0', 'Amadori/Heyns Rearrangement'], 'N']
G3	URYGCMBOMHUVKQ	C(C(C(C(C(C)=O)O)O)N)=O	['C(C(C(C(C(C)=O)O)O)N)=O', ['637_0', 'Aldol Condensation'], 'C(CN)=O', ['10_0', 'Amadori/Heyns Rearrangement'], 'N']
G3	RFTGWPCIEOLYOI	C(C(C(C)(C(C=O)O)O)N)=O	['C(C(C(C)(C(C=O)O)O)N)=O', ['639_0', 'Aldol Condensation'], 'C(CN)=O', ['10_0', 'Amadori/Heyns Rearrangement'], 'N']
G3	ZMEILYOCLSHQDN	C(C(C(CC(CN)O)=O)O)=O	['C(C(C(CC(CN)O)=O)O)=O', ['641_0', 'Aldol Condensation'], 'C(CN)=O', ['10_0', 'Amadori/Heyns Rearrangement'], 'N']
G3	WXYXERHRDKEISL	C(C(CO)O)(C(CO)O)=O	['C(C(CO)O)(C(CO)O)=O', ['658_0', 'Aldol Condensation'], 'C=O']
G3	MTPLMYSUTMBRKU	C(CO)(C(CO)N)=O	['C(CO)(C(CO)N)=O', ['670_0', 'Aldol Condensation'], 'C=O']
G3	YHKGTFSEJPIKDQ	C(C(CO)O)(C(CO)N)=O	['C(C(CO)O)(C(CO)N)=O', ['672_0', 'Aldol Condensation'], 'C=O']
G3	YECZZWUIAXEARY	C(C(C(C(CO)N)O)O)=O	['C(C(C(C(CO)N)O)O)=O', ['697_0', 'Aldol Condensation'], 'C(CO)=O']
G3	AVGPOAXYRRIZMM	C(C(C(CO)(CO)O)O)=O	['C(C(C(CO)(CO)O)O)=O', ['705_0', 'Aldol Condensation'], 'C(CO)=O']
G3	ZAQJHHRNXZUBTE	C(CO)(C(C(CO)O)O)=O	['C(CO)(C(C(CO)O)O)=O', ['707_0', 'Aldol Condensation'], 'C(CO)=O']
G3	CMOZXEKFRDIDCA	C(C(C(CO)(CN)O)O)=O	['C(C(C(CO)(CN)O)O)=O', ['723_0', 'Aldol Condensation'], 'C(CO)=O']
G3	ZGPHAZHLWWSPMV	C(CN)(C(C(CO)O)O)=O	['C(CN)(C(C(CO)O)O)=O', ['725_0', 'Aldol Condensation'], 'C(CO)=O']
G3	HPQGIDPCWDOJIW	C(CO)(C(C(CO)O)N)=O	['C(CO)(C(C(CO)O)N)=O', ['727_0', 'Aldol Condensation'], 'C(CO)=O']
G3	FAGPJBHKKUOQAR	C(C(CCO)(C(C=O)O)O)=O	['C(C(CCO)(C(C=O)O)O)=O', ['749_0', 'Aldol Condensation'], 'C(CO)=O']
G3	KTQQRSZBGCOSES	C(C(C(C=O)O)O)(CCO)=O	['C(C(C(C=O)O)O)(CCO)=O', ['751_0', 'Aldol Condensation'], 'C(CO)=O']
G3	JOEMRRCMXVASPX	C(C(C(CO)C(CO)O)=O)=O	['C(C(C(CO)C(CO)O)=O)=O', ['753_0', 'Aldol Condensation'], 'C(CO)=O']
G3	DRFVLWXFACEMHK	C(CC(C(C(C=O)O)O)O)=O	['C(CC(C(C(C=O)O)O)O)=O', ['755_0', 'Aldol Condensation'], 'C(CO)=O']
G3	ZAZMXMODCOTURY	C(C(C(CC(C=O)O)O)O)=O	['C(C(C(CC(C=O)O)O)O)=O', ['757_0', 'Aldol Condensation'], 'C(CO)=O']
G3	HIPAGLNATSXMFT	C(C(C(CO)O)C(C=O)O)=O	['C(C(C(CO)O)C(C=O)O)=O', ['759_0', 'Aldol Condensation'], 'C(CO)=O']
G3	ZNSXGNZNZVWMBM	C(C(C(CC(CO)=O)O)O)=O	['C(C(C(CC(CO)=O)O)O)=O', ['761_0', 'Aldol Condensation'], 'C(CO)=O']
G3	IEHDXMKHICIRFU	C(CC(CO)(C(C=O)O)O)=O	['C(CC(CO)(C(C=O)O)O)=O', ['763_0', 'Aldol Condensation'], 'C(CO)=O']
G3	SSUDYWNAIOLNKR	C(C(C(CO)=O)C(CO)O)=O	['C(C(C(CO)=O)C(CO)O)=O', ['765_0', 'Aldol Condensation'], 'C(CO)=O']
G3	RXVDSZVTHMJWNV	C(CC(C(C(CO)O)O)=O)=O	['C(CC(C(C(CO)O)O)=O)=O', ['767_0', 'Aldol Condensation'], 'C(CO)=O']
G3	MKKWPESNDMZCAX	C(C(C(C(C(C)=O)O)O)O)=O	['C(C(C(C(C(C)=O)O)O)O)=O', ['769_0', 'Aldol Condensation'], 'C(CO)=O']
G3	LTIXNERYDWMFRC	C(C(C(C)(C(C=O)O)O)O)=O	['C(C(C(C)(C(C=O)O)O)O)=O', ['771_0', 'Aldol Condensation'], 'C(CO)=O']
G3	QBHBJCPWTMMDIG	C(C(C(CC(CO)O)=O)O)=O	['C(C(C(CC(CO)O)=O)O)=O', ['773_0', 'Aldol Condensation'], 'C(CO)=O']
G3	IKHXAQXDRKSBCU	C(C(C(C(CN)O)O)O)=O	['C(C(C(C(CN)O)O)O)=O', ['785_0', 'Aldol Condensation'], 'C(CO)=O']
G3	UFYGCFHQAXXBCF	C(C(CCO)O)(O)=O	['C(C(CCO)O)(O)=O', ['792_0', 'Benzilic Acid Rearrangement'], 'O']
G3	VDSAQEDKJUSZPS	C(C(C(C(CO)O)O)=O)=O	['C(C(C(C(CO)O)O)=O)=O', ['798_0', 'Benzilic Acid Rearrangement (inverse)'], 'C(C(C(C(CO)O)O)O)(O)=O', ['78_0', 'Knoevenagel H'], 'C(C(CO)O)=O', ['5_0', 'Aldol Condensation'], 'C=O']
G3	HVTGQMWTDDUILK	C(CO)(C(CN)O)=O	['C(CO)(C(CN)O)=O', ['829_0', 'Keto-enol migration twice'], 'C(C(C(CN)O)O)=O', ['31_0', 'Aldol Condensation'], 'C(CO)=O']
G3	VMWHZZCFIPURJF	C(C(C(C(CO)N)O)O)O	['C(C(C(C(CO)N)O)O)O', ['1130_0', 'Cannizarro 2, HCHO (oxidation)'], 'C=O']
G3	KJJPLEZQSCZCKE	C(C(CO)N)O	['C(C(CO)N)O', ['1136_0', 'Cannizarro 2, HCHO (oxidation)'], 'C=O']
G3	HEBKCHPVOIAQTA	C(C(C(C(CO)O)O)O)O	['C(C(C(C(CO)O)O)O)O', ['1138_0', 'Cannizarro 2, HCHO (oxidation)'], 'C=O']
G3	WIFPJDJJFUSIFP	C(C(C(CN)O)O)O	['C(C(C(CN)O)O)O', ['1142_0', 'Cannizarro 2, HCHO (oxidation)'], 'C=O']
G3	PMLGQXIKBPFHJZ	C(C(C(CO)O)N)O	['C(C(C(CO)O)N)O', ['1144_0', 'Cannizarro 2, HCHO (oxidation)'], 'C=O']
G3	GRJYCUXQJJMRKX	C(C(CO)(C(CN)O)O)O	['C(C(CO)(C(CN)O)O)O', ['1152_0', 'Cannizarro 2, HCHO (oxidation)'], 'C=O']
G3	HXYJZJOQRLOUPP	C(C(CO)(CO)O)O	['C(C(CO)(CO)O)O', ['1156_0', 'Cannizarro 2, HCHO (oxidation)'], 'C=O']
G3	SDXWEZQDLHNYFR	C(C(CO)(C(CO)O)O)O	['C(C(CO)(C(CO)O)O)O', ['1158_0', 'Cannizarro 2, HCHO (oxidation)'], 'C=O']
G3	KQIGMPWTAHJUMN	C(C(CN)O)O	['C(C(CN)O)O', ['1183_0', 'Cannizarro 2, HCHO (oxidation)'], 'C=O']
G3	MTCFGRXMJLQNBG	C(C(CO)N)(O)=O	['C(C(CO)N)(O)=O', ['1192_0', 'Cannizarro 2, HCHO (reduction)'], 'C=O']
G3	JBNUARFQOCGDRK	C(C(C(CO)O)N)(O)=O	['C(C(C(CO)O)N)(O)=O', ['1197_0', 'Cannizarro 2, HCHO (reduction)'], 'C=O']
G3	OJSKBWPAXWEHAA	C(C(CO)(CO)O)(O)=O	['C(C(CO)(CO)O)(O)=O', ['1210_0', 'Cannizarro 2, HCHO (reduction)'], 'C=O']
G3	BMYNFMYTOJXKLE	C(C(CN)O)(O)=O	['C(C(CN)O)(O)=O', ['1240_0', 'Cannizarro 2, HCHO (reduction)'], 'C=O']
G3	MLDBXFQIDVIWHU	C(C(C(CO)N)O)(O)=O	['C(C(C(CO)N)O)(O)=O', ['1242_0', 'Cannizarro 2, HCHO (reduction)'], 'C=O']
G3	MKIUQSMSVAUTKI	C(C(CO)(C(C=O)O)N)=O	['C(C(CO)(C(C=O)O)N)=O', ['1264_0', 'Knoevenagel C'], 'C(C(CO)N)=O', ['25_0', 'Aldol Condensation'], 'C=O']
G3	JFFLKTNXBRMQMK	C(C(CO)(C(CC=O)O)N)=O	['C(C(CO)(C(CC=O)O)N)=O', ['1274_0', 'Knoevenagel C'], 'C(C(CO)N)=O', ['25_0', 'Aldol Condensation'], 'C=O']
