Generation	Smiles	Inchi	Pathway
G3	C(C(CC(CO)(CO)O)=O)=O	GBYNVYGBOCCFCK	['C(C(CC(CO)(CO)O)=O)=O', ['98_0', 'Aldol Condensation'], 'C(CO)(CO)=O', ['24_0', 'Keto-enol migration twice'], 'C(C(CO)O)=O', ['4_0', 'Aldol Condensation'], 'C=O']
G3	C(CO)(C(C(C)O)O)=O	MRKRITSFTIHTAQ	['C(CO)(C(C(C)O)O)=O', ['126_0', 'Aldol Condensation'], 'C(CO)(CO)=O', ['24_0', 'Keto-enol migration twice'], 'C(C(CO)O)=O', ['4_0', 'Aldol Condensation'], 'C=O']
G3	C(CC(CO)(CO)O)=O	RLJYTLNHFAJLAE	['C(CC(CO)(CO)O)=O', ['128_0', 'Aldol Condensation'], 'C(CO)(CO)=O', ['24_0', 'Keto-enol migration twice'], 'C(C(CO)O)=O', ['4_0', 'Aldol Condensation'], 'C=O']
G3	C(C(C(C)O)O)(C(CO)O)=O	IWASYLACXSGJPG	['C(C(C(C)O)O)(C(CO)O)=O', ['140_0', 'Aldol Condensation'], 'C(CO)(C(CO)O)=O', ['26_0', 'Keto-enol migration twice'], 'C(C(C(CO)O)O)=O', ['6_0', 'Aldol Condensation'], 'C(CO)=O']
G3	C(CC(CO)(C(CO)O)O)=O	IDBTYBMNHBMAOU	['C(CC(CO)(C(CO)O)O)=O', ['142_0', 'Aldol Condensation'], 'C(CO)(C(CO)O)=O', ['26_0', 'Keto-enol migration twice'], 'C(C(C(CO)O)O)=O', ['6_0', 'Aldol Condensation'], 'C(CO)=O']
G3	C(CC(C(CO)(CO)O)O)=O	HQMRFNOKWQUHQC	['C(CC(C(CO)(CO)O)O)=O', ['148_0', 'Aldol Condensation'], 'C(C(CO)(CO)O)=O', ['38_0', 'Knoevenagel C'], 'C=O']
G3	C(C(C=O)C(C(CO)O)O)=O	AKTMIDGTSNJTSP	['C(C(C=O)C(C(CO)O)O)=O', ['266_0', 'Aldol Condensation'], 'C(C(CO)O)=O', ['4_0', 'Aldol Condensation'], 'C=O']
G3	C(C(CC(C(CO)O)O)=O)=O	ZGCHLOWZNKRZSN	['C(C(CC(C(CO)O)O)=O)=O', ['268_0', 'Aldol Condensation'], 'C(C(CO)O)=O', ['4_0', 'Aldol Condensation'], 'C=O']
G3	C(CC(C(CO)O)O)=O	ASJSAQIRZKANQN	['C(CC(C(CO)O)O)=O', ['280_0', 'Aldol Condensation'], 'C(C(CO)O)=O', ['4_0', 'Aldol Condensation'], 'C=O']
G3	C(CC(C(C(CO)O)O)O)=O	VRYALKFFQXWPIH	['C(CC(C(C(CO)O)O)O)=O', ['286_0', 'Aldol Condensation'], 'C(C(C(CO)O)O)=O', ['6_0', 'Aldol Condensation'], 'C(CO)=O']
G3	C(C(CO)O)(C(CO)O)=O	WXYXERHRDKEISL	['C(C(CO)O)(C(CO)O)=O', ['289_0', 'Aldol Condensation'], 'C=O']
G3	C(C(C(CO)(CO)O)O)=O	AVGPOAXYRRIZMM	['C(C(C(CO)(CO)O)O)=O', ['308_0', 'Aldol Condensation'], 'C(CO)=O']
G3	C(CO)(C(C(CO)O)O)=O	ZAQJHHRNXZUBTE	['C(CO)(C(C(CO)O)O)=O', ['310_0', 'Aldol Condensation'], 'C(CO)=O']
G3	C(C(CCO)(C(C=O)O)O)=O	FAGPJBHKKUOQAR	['C(C(CCO)(C(C=O)O)O)=O', ['328_0', 'Aldol Condensation'], 'C(CO)=O']
G3	C(C(C(C=O)O)O)(CCO)=O	KTQQRSZBGCOSES	['C(C(C(C=O)O)O)(CCO)=O', ['330_0', 'Aldol Condensation'], 'C(CO)=O']
G3	C(C(C(CO)C(CO)O)=O)=O	JOEMRRCMXVASPX	['C(C(C(CO)C(CO)O)=O)=O', ['332_0', 'Aldol Condensation'], 'C(CO)=O']
G3	C(CC(C(C(C=O)O)O)O)=O	DRFVLWXFACEMHK	['C(CC(C(C(C=O)O)O)O)=O', ['334_0', 'Aldol Condensation'], 'C(CO)=O']
G3	C(C(C(CC(C=O)O)O)O)=O	ZAZMXMODCOTURY	['C(C(C(CC(C=O)O)O)O)=O', ['336_0', 'Aldol Condensation'], 'C(CO)=O']
G3	C(C(C(CO)O)C(C=O)O)=O	HIPAGLNATSXMFT	['C(C(C(CO)O)C(C=O)O)=O', ['338_0', 'Aldol Condensation'], 'C(CO)=O']
G3	C(C(C(CC(CO)=O)O)O)=O	ZNSXGNZNZVWMBM	['C(C(C(CC(CO)=O)O)O)=O', ['340_0', 'Aldol Condensation'], 'C(CO)=O']
G3	C(CC(CO)(C(C=O)O)O)=O	IEHDXMKHICIRFU	['C(CC(CO)(C(C=O)O)O)=O', ['342_0', 'Aldol Condensation'], 'C(CO)=O']
G3	C(C(C(CO)=O)C(CO)O)=O	SSUDYWNAIOLNKR	['C(C(C(CO)=O)C(CO)O)=O', ['344_0', 'Aldol Condensation'], 'C(CO)=O']
G3	C(CC(C(C(CO)O)O)=O)=O	RXVDSZVTHMJWNV	['C(CC(C(C(CO)O)O)=O)=O', ['346_0', 'Aldol Condensation'], 'C(CO)=O']
G3	C(C(C(C(C(C)=O)O)O)O)=O	MKKWPESNDMZCAX	['C(C(C(C(C(C)=O)O)O)O)=O', ['348_0', 'Aldol Condensation'], 'C(CO)=O']
G3	C(C(C(C)(C(C=O)O)O)O)=O	LTIXNERYDWMFRC	['C(C(C(C)(C(C=O)O)O)O)=O', ['350_0', 'Aldol Condensation'], 'C(CO)=O']
G3	C(C(C(CC(CO)O)=O)O)=O	QBHBJCPWTMMDIG	['C(C(C(CC(CO)O)=O)O)=O', ['352_0', 'Aldol Condensation'], 'C(CO)=O']
G3	C(C(CCO)O)(O)=O	UFYGCFHQAXXBCF	['C(C(CCO)O)(O)=O', ['361_0', 'Benzilic Acid Rearrangement'], 'O']
G3	C(C(C(C(CO)O)O)=O)=O	VDSAQEDKJUSZPS	['C(C(C(C(CO)O)O)=O)=O', ['367_0', 'Benzilic Acid Rearrangement (inverse)'], 'C(C(C(C(CO)O)O)O)(O)=O', ['45_0', 'Knoevenagel H'], 'C(C(CO)O)=O', ['4_0', 'Aldol Condensation'], 'C=O']
G3	C(C(C(C(CO)O)O)O)O	HEBKCHPVOIAQTA	['C(C(C(C(CO)O)O)O)O', ['393_0', 'Cannizarro 2, HCHO (oxidation)'], 'C=O']
G3	C(C(CO)(CO)O)O	HXYJZJOQRLOUPP	['C(C(CO)(CO)O)O', ['400_0', 'Cannizarro 2, HCHO (oxidation)'], 'C=O']
G3	C(C(CO)(C(CO)O)O)O	SDXWEZQDLHNYFR	['C(C(CO)(C(CO)O)O)O', ['402_0', 'Cannizarro 2, HCHO (oxidation)'], 'C=O']
G3	C(C(CO)(CO)O)(O)=O	OJSKBWPAXWEHAA	['C(C(CO)(CO)O)(O)=O', ['425_0', 'Cannizarro 2, HCHO (reduction)'], 'C=O']
G3	C(CO)(C(CO)(C(C)O)O)=O	CLUAZGGJJOMMPW	['C(CO)(C(CO)(C(C)O)O)=O', ['467_0', 'Knoevenagel C'], 'C(CO)(C(CO)O)=O', ['26_0', 'Keto-enol migration twice'], 'C(C(C(CO)O)O)=O', ['6_0', 'Aldol Condensation'], 'C(CO)=O']
G3	C(C(CO)(C(C)O)O)(O)=O	WKRKESUWTIYINN	['C(C(CO)(C(C)O)O)(O)=O', ['475_0', 'Knoevenagel C'], 'C(C(CO)O)(O)=O', ['32_0', 'Cannizarro 2, HCHO (reduction)'], 'C=O']
G3	C(C(CO)(C(C=O)O)O)=O	YAVWISVERGTOHY	['C(C(CO)(C(C=O)O)O)=O', ['487_0', 'Knoevenagel C'], 'C(C(CO)O)=O', ['4_0', 'Aldol Condensation'], 'C=O']
G3	C(C(CO)(C(CC=O)O)O)=O	KMZKNPYVLFCBJR	['C(C(CO)(C(CC=O)O)O)=O', ['492_0', 'Knoevenagel C'], 'C(C(CO)O)=O', ['4_0', 'Aldol Condensation'], 'C=O']
G3	C(C(CO)(C(C=O)(C)O)O)=O	LLKJMSOIEJAFOF	['C(C(CO)(C(C=O)(C)O)O)=O', ['494_0', 'Knoevenagel C'], 'C(C(CO)O)=O', ['4_0', 'Aldol Condensation'], 'C=O']
G3	C(C(CO)(C(C(C)=O)O)O)=O	KSPZMTWVXVIPRP	['C(C(CO)(C(C(C)=O)O)O)=O', ['496_0', 'Knoevenagel C'], 'C(C(CO)O)=O', ['4_0', 'Aldol Condensation'], 'C=O']
G3	C(C(CO)(C(C)O)O)=O	JQKDKERJPQSZLX	['C(C(CO)(C(C)O)O)=O', ['516_0', 'Knoevenagel C'], 'C(C(CO)O)=O', ['4_0', 'Aldol Condensation'], 'C=O']
G3	C(C(C(CO)O)(C(C)O)O)=O	DXBKAMXGCDVWGR	['C(C(C(CO)O)(C(C)O)O)=O', ['526_0', 'Knoevenagel C'], 'C(C(C(CO)O)O)=O', ['6_0', 'Aldol Condensation'], 'C(CO)=O']
G3	C(CO)(C(CO)(CO)O)=O	KNWXMEXZFWGIPP	['C(CO)(C(CO)(CO)O)=O', ['529_0', 'Knoevenagel C'], 'C=O']
G3	C(C(C(C)=O)(C(CO)O)O)=O	UZMKAOBHDMJGHD	['C(C(C(C)=O)(C(CO)O)O)=O', ['540_0', 'Knoevenagel C'], 'C(CO)=O']
G3	C(C(C(C=O)O)O)(O)=O	JYPFTOPPKDHQEW	['C(C(C(C=O)O)O)(O)=O', ['556_0', 'Knoevenagel H'], 'C(CO)(O)=O', ['14_0', 'Cannizarro 2, HCHO (reduction)'], 'C=O']
G3	C(CC(C(C(O)=O)O)O)=O	WNQQMTOQQGYXCH	['C(CC(C(C(O)=O)O)O)=O', ['564_0', 'Knoevenagel H'], 'C(CO)(O)=O', ['14_0', 'Cannizarro 2, HCHO (reduction)'], 'C=O']
G3	C(C(C)(C(C(O)=O)O)O)=O	AZFXWNDHXWNFRE	['C(C(C)(C(C(O)=O)O)O)=O', ['566_0', 'Knoevenagel H'], 'C(CO)(O)=O', ['14_0', 'Cannizarro 2, HCHO (reduction)'], 'C=O']
G3	C(C(C(C(C)=O)O)O)(O)=O	HDGNQJMIIPXNJZ	['C(C(C(C(C)=O)O)O)(O)=O', ['568_0', 'Knoevenagel H'], 'C(CO)(O)=O', ['14_0', 'Cannizarro 2, HCHO (reduction)'], 'C=O']
G3	C(C(C(C)O)O)(O)=O	LOUGYXZSURQALL	['C(C(C(C)O)O)(O)=O', ['586_0', 'Knoevenagel H'], 'C(CO)(O)=O', ['14_0', 'Cannizarro 2, HCHO (reduction)'], 'C=O']
G3	C(C(C(CO)O)(CC=O)O)=O	TXIVWMLJMZFCNJ	['C(C(C(CO)O)(CC=O)O)=O', ['590_0', 'Knoevenagel H'], 'C(CO)=O']
G3	C(CC(C=O)O)(C(CO)O)=O	LVYQXQPAYHNLQF	['C(CC(C=O)O)(C(CO)O)=O', ['604_0', 'Elimination + enol to keto'], 'C(C(C(C(C(CO)O)O)O)O)=O', ['18_0', 'Aldol Condensation'], 'C(CO)=O']
G3	C(C(CO)(CC(CO)=O)O)=O	RHBBDYUCVCIMPI	['C(C(CO)(CC(CO)=O)O)=O', ['627_0', 'Elimination + enol to keto'], 'C(C(CO)(C(C(CO)O)O)O)=O', ['36_0', 'Knoevenagel C'], 'C(C(CO)O)=O', ['4_0', 'Aldol Condensation'], 'C=O']
G3	C(C(C(CCO)=O)(CO)O)=O	XXCROCVPGJNKKK	['C(C(C(CCO)=O)(CO)O)=O', ['629_0', 'Elimination + enol to keto'], 'C(C(CO)(C(C(CO)O)O)O)=O', ['36_0', 'Knoevenagel C'], 'C(C(CO)O)=O', ['4_0', 'Aldol Condensation'], 'C=O']
G3	C(C(C(C(CO)O)=O)CO)=O	VSCZDXPKQZQUMT	['C(C(C(C(CO)O)=O)CO)=O', ['631_0', 'Elimination + enol to keto'], 'C(C(CO)(C(C(CO)O)O)O)=O', ['36_0', 'Knoevenagel C'], 'C(C(CO)O)=O', ['4_0', 'Aldol Condensation'], 'C=O']
G3	C(C(CC(CO)=O)O)(O)=O	YVXXPGROVYTBAL	['C(C(CC(CO)=O)O)(O)=O', ['644_0', 'Elimination + enol to keto'], 'C(C(C(C(CO)O)O)O)(O)=O', ['45_0', 'Knoevenagel H'], 'C(C(CO)O)=O', ['4_0', 'Aldol Condensation'], 'C=O']
G3	C(C(C(CCO)=O)O)(O)=O	GEKHDLNOKHNDDY	['C(C(C(CCO)=O)O)(O)=O', ['646_0', 'Elimination + enol to keto'], 'C(C(C(C(CO)O)O)O)(O)=O', ['45_0', 'Knoevenagel H'], 'C(C(CO)O)=O', ['4_0', 'Aldol Condensation'], 'C=O']
G3	C(CC(C(CO)O)=O)(O)=O	FNWZJGILAMUKQY	['C(CC(C(CO)O)=O)(O)=O', ['648_0', 'Elimination + enol to keto'], 'C(C(C(C(CO)O)O)O)(O)=O', ['45_0', 'Knoevenagel H'], 'C(C(CO)O)=O', ['4_0', 'Aldol Condensation'], 'C=O']
G3	C(C(CC(CO)O)=O)(O)=O	UQIGQRSJIKIPKZ	['C(C(CC(CO)O)=O)(O)=O', ['650_0', 'Elimination + enol to keto'], 'C(C(C(C(CO)O)O)O)(O)=O', ['45_0', 'Knoevenagel H'], 'C(C(CO)O)=O', ['4_0', 'Aldol Condensation'], 'C=O']
G3	C(C1C(C(C(O)O1)O)O)O	HMFHBZSHGGEWLO	['C(C1C(C(C(O)O1)O)O)O', ['684_0', 'Hemiacetal Formation for 5 membered rings'], 'C(C(C(C(CO)O)O)O)=O', ['16_0', 'Aldol Condensation'], 'C(CO)=O']
G3	C1C(C(C(O)O1)(CO)O)O	BFZQQKBQRCDWST	['C1C(C(C(O)O1)(CO)O)O', ['690_0', 'Hemiacetal Formation for 5 membered rings'], 'C(C(CO)(C(CO)O)O)=O', ['40_0', 'Knoevenagel C'], 'C=O']
G3	C1C(C(C(C(O)O1)O)O)O	SRBFZHDQGSBBOR	['C1C(C(C(C(O)O1)O)O)O', ['696_0', 'Hemiacetal Formation for 6 membered rings'], 'C(C(C(C(CO)O)O)O)=O', ['16_0', 'Aldol Condensation'], 'C(CO)=O']
G3	C1(C(C(C(CO)O1)O)O)=O	CUOKHACJLGPRHD	['C1(C(C(C(CO)O1)O)O)=O', ['707_0', 'Ring Closure 5 membered O, O'], 'C(C(C(C(CO)O)O)O)(O)=O', ['45_0', 'Knoevenagel H'], 'C(C(CO)O)=O', ['4_0', 'Aldol Condensation'], 'C=O']
G3	C1(C(C(C(CO1)O)O)O)=O	XXBSUZSONOQQGK	['C1(C(C(C(CO1)O)O)O)=O', ['711_0', 'Ring Closure 6 membered O, O'], 'C(C(C(C(CO)O)O)O)(O)=O', ['45_0', 'Knoevenagel H'], 'C(C(CO)O)=O', ['4_0', 'Aldol Condensation'], 'C=O']
G4	C1(C(C(C(C1O)O)O)O)=O	RPLBTYVHLJOBKZ	['C1(C(C(C(C1O)O)O)O)=O', ['717_0', 'Aldol Condensation'], 'C(C(C(C(CO)=O)O)O)=O', ['69_0', 'Aldol Condensation'], 'C(C=O)=O', ['20_0', 'Benzilic Acid Rearrangement (inverse)'], 'C(CO)(O)=O', ['14_0', 'Cannizarro 2, HCHO (reduction)'], 'C=O']
G4	C(C1C(C(C(C1O)O)O)=O)=O	YWMHEJKIEFCJJV	['C(C1C(C(C(C1O)O)O)=O)=O', ['719_0', 'Aldol Condensation'], 'C(C(C(CO)=O)C(C=O)O)=O', ['81_0', 'Aldol Condensation'], 'C(C=O)=O', ['20_0', 'Benzilic Acid Rearrangement (inverse)'], 'C(CO)(O)=O', ['14_0', 'Cannizarro 2, HCHO (reduction)'], 'C=O']
G4	C1(C(C(CC(C1O)O)O)O)=O	DNWNZFQXCIWUSQ	['C1(C(C(CC(C1O)O)O)O)=O', ['722_0', 'Aldol Condensation'], 'C(CC(C(C(CO)=O)O)O)=O', ['90_0', 'Aldol Condensation'], 'C(CO)(CO)=O', ['24_0', 'Keto-enol migration twice'], 'C(C(CO)O)=O', ['4_0', 'Aldol Condensation'], 'C=O']
G4	C1(C(C(C(C)(C1O)O)O)O)=O	QCSROUGOTJEQJK	['C1(C(C(C(C)(C1O)O)O)O)=O', ['724_0', 'Aldol Condensation'], 'C(C(C)(C(C(CO)=O)O)O)=O', ['94_0', 'Aldol Condensation'], 'C(CO)(CO)=O', ['24_0', 'Keto-enol migration twice'], 'C(C(CO)O)=O', ['4_0', 'Aldol Condensation'], 'C=O']
G4	C1(C(C(C(CO)(C1)O)O)O)=O	UHQNRQMTZAQCBL	['C1(C(C(C(CO)(C1)O)O)O)=O', ['726_0', 'Aldol Condensation'], 'C(C)(C(C(C(CO)=O)O)O)=O', ['96_0', 'Aldol Condensation'], 'C(CO)(CO)=O', ['24_0', 'Keto-enol migration twice'], 'C(C(CO)O)=O', ['4_0', 'Aldol Condensation'], 'C=O']
G4	C(C1C(C(C(C1O)=O)CO)O)=O	QIEUDWQTLABOOV	['C(C1C(C(C(C1O)=O)CO)O)=O', ['754_0', 'Aldol Condensation'], 'C(C(C=O)C(C(CCO)=O)O)=O', ['162_0', 'Aldol Condensation'], 'C(CC=O)=O', ['51_0', 'Elimination + enol to keto'], 'C(C(CO)O)=O', ['4_0', 'Aldol Condensation'], 'C=O']
G4	C(C1C(C(C=O)C(C1O)O)O)=O	ZSMZKAQLWLFJMO	['C(C1C(C(C=O)C(C1O)O)O)=O', ['757_0', 'Aldol Condensation'], 'C(C(C=O)C(C(CC=O)O)O)=O', ['166_0', 'Aldol Condensation'], 'C(CC=O)=O', ['51_0', 'Elimination + enol to keto'], 'C(C(CO)O)=O', ['4_0', 'Aldol Condensation'], 'C=O']
G4	C(C1C(CC(C(C1O)O)=O)O)=O	AUPYDEHKCNYTSW	['C(C1C(CC(C(C1O)O)=O)O)=O', ['760_0', 'Aldol Condensation'], 'C(C(C=O)C(CC(CO)=O)O)=O', ['172_0', 'Aldol Condensation'], 'C(CC=O)=O', ['51_0', 'Elimination + enol to keto'], 'C(C(CO)O)=O', ['4_0', 'Aldol Condensation'], 'C=O']
G4	C(C1C(C(C(CC1O)O)O)=O)=O	YRTULFSSNUAODY	['C(C1C(C(C(CC1O)O)O)=O)=O', ['762_0', 'Aldol Condensation'], 'C(CC(C(C=O)C(CO)=O)O)=O', ['176_0', 'Aldol Condensation'], 'C(CC=O)=O', ['51_0', 'Elimination + enol to keto'], 'C(C(CO)O)=O', ['4_0', 'Aldol Condensation'], 'C=O']
G4	C1(C(CO)C(C=O)(CC1O)O)=O	LMGIZDHHGOFZPU	['C1(C(CO)C(C=O)(CC1O)O)=O', ['772_0', 'Aldol Condensation'], 'C(C(CC(C=O)=O)O)(CCO)=O', ['196_0', 'Aldol Condensation'], 'C(C(C)=O)=O', ['53_0', 'Elimination + enol to keto'], 'C(C(CO)O)=O', ['4_0', 'Aldol Condensation'], 'C=O']
G4	C1(C(C(C(C(C1)O)=O)CO)O)=O	SXWMINGTHUABIK	['C1(C(C(C(C(C1)O)=O)CO)O)=O', ['774_0', 'Aldol Condensation'], 'C(C(CC(C=O)=O)O)(CCO)=O', ['196_0', 'Aldol Condensation'], 'C(C(C)=O)=O', ['53_0', 'Elimination + enol to keto'], 'C(C(CO)O)=O', ['4_0', 'Aldol Condensation'], 'C=O']
G4	C(C1(C(CO)C(C(C1)=O)O)O)=O	TXXBHPYMVGOHPZ	['C(C1(C(CO)C(C(C1)=O)O)O)=O', ['776_0', 'Aldol Condensation'], 'C(C(C(C(C=O)=O)CO)O)(C)=O', ['200_0', 'Aldol Condensation'], 'C(C(C)=O)=O', ['53_0', 'Elimination + enol to keto'], 'C(C(CO)O)=O', ['4_0', 'Aldol Condensation'], 'C=O']
G4	C(C1C(C(CC1(C=O)O)O)O)=O	FIGJQDXEZHVUOS	['C(C1C(C(CC1(C=O)O)O)O)=O', ['779_0', 'Aldol Condensation'], 'C(CC(C(CC(C=O)=O)O)O)=O', ['202_0', 'Aldol Condensation'], 'C(C(C)=O)=O', ['53_0', 'Elimination + enol to keto'], 'C(C(CO)O)=O', ['4_0', 'Aldol Condensation'], 'C=O']
G4	C(C1C(C(CC(C1O)=O)O)O)=O	GMRKEEHCNPHRFK	['C(C1C(C(CC(C1O)=O)O)O)=O', ['781_0', 'Aldol Condensation'], 'C(CC(C(CC(C=O)=O)O)O)=O', ['202_0', 'Aldol Condensation'], 'C(C(C)=O)=O', ['53_0', 'Elimination + enol to keto'], 'C(C(CO)O)=O', ['4_0', 'Aldol Condensation'], 'C=O']
G4	C(C(C1C(C(CC1O)O)O)=O)=O	LXEPBSPLUZYIKY	['C(C(C1C(C(CC1O)O)O)=O)=O', ['783_0', 'Aldol Condensation'], 'C(CC(C(CC(C=O)=O)O)O)=O', ['202_0', 'Aldol Condensation'], 'C(C(C)=O)=O', ['53_0', 'Elimination + enol to keto'], 'C(C(CO)O)=O', ['4_0', 'Aldol Condensation'], 'C=O']
G4	C1(C(C(C(C1)O)C(C=O)O)O)=O	IRXAXBQTRSAYJV	['C1(C(C(C(C1)O)C(C=O)O)O)=O', ['787_0', 'Aldol Condensation'], 'C(C(C(C=O)C(C(C)=O)O)O)=O', ['208_0', 'Aldol Condensation'], 'C(C(C)=O)=O', ['53_0', 'Elimination + enol to keto'], 'C(C(CO)O)=O', ['4_0', 'Aldol Condensation'], 'C=O']
G4	C(C1(CC(CC(C1O)=O)O)O)=O	ARTFWEBDMQPPEL	['C(C1(CC(CC(C1O)=O)O)O)=O', ['789_0', 'Aldol Condensation'], 'C(CO)(CC(CC(C=O)=O)O)=O', ['210_0', 'Aldol Condensation'], 'C(C(C)=O)=O', ['53_0', 'Elimination + enol to keto'], 'C(C(CO)O)=O', ['4_0', 'Aldol Condensation'], 'C=O']
G4	C(CO)(C1C(CC(C1O)=O)O)=O	FZRWVEDGHRHXTC	['C(CO)(C1C(CC(C1O)=O)O)=O', ['791_0', 'Aldol Condensation'], 'C(CO)(CC(CC(C=O)=O)O)=O', ['210_0', 'Aldol Condensation'], 'C(C(C)=O)=O', ['53_0', 'Elimination + enol to keto'], 'C(C(CO)O)=O', ['4_0', 'Aldol Condensation'], 'C=O']
G4	C1(C(C(C(CC(C1)O)=O)O)O)=O	DNSVTLFKOGIDGH	['C1(C(C(C(CC(C1)O)=O)O)O)=O', ['793_0', 'Aldol Condensation'], 'C(CO)(CC(CC(C=O)=O)O)=O', ['210_0', 'Aldol Condensation'], 'C(C(C)=O)=O', ['53_0', 'Elimination + enol to keto'], 'C(C(CO)O)=O', ['4_0', 'Aldol Condensation'], 'C=O']
G4	C(C1C(CO)(CC(C1O)=O)O)=O	XVHPLUHOTOURLI	['C(C1C(CO)(CC(C1O)=O)O)=O', ['795_0', 'Aldol Condensation'], 'C(CC(CO)(CC(C=O)=O)O)=O', ['212_0', 'Aldol Condensation'], 'C(C(C)=O)=O', ['53_0', 'Elimination + enol to keto'], 'C(C(CO)O)=O', ['4_0', 'Aldol Condensation'], 'C=O']
G4	C(C1C(C(C(C1(C)O)O)O)=O)=O	WPAPXOCDBQCIPU	['C(C1C(C(C(C1(C)O)O)O)=O)=O', ['797_0', 'Aldol Condensation'], 'C(C(C)(C(C=O)C(CO)=O)O)=O', ['214_0', 'Aldol Condensation'], 'C(C(C)=O)=O', ['53_0', 'Elimination + enol to keto'], 'C(C(CO)O)=O', ['4_0', 'Aldol Condensation'], 'C=O']
G4	C(C1C(C(C(C)(C1O)O)O)=O)=O	DMLHUZOIIHWSRY	['C(C1C(C(C(C)(C1O)O)O)=O)=O', ['799_0', 'Aldol Condensation'], 'C(C(C(CO)=O)C(C(C)=O)O)=O', ['216_0', 'Aldol Condensation'], 'C(C(C)=O)=O', ['53_0', 'Elimination + enol to keto'], 'C(C(CO)O)=O', ['4_0', 'Aldol Condensation'], 'C=O']
G4	C(CC1(C(C(C(C1)=O)O)O)O)=O	AEPUFZVZGQIGAD	['C(CC1(C(C(C(C1)=O)O)O)O)=O', ['806_0', 'Aldol Condensation'], 'C(CC(C(C(C(C)=O)O)O)=O)=O', ['220_0', 'Aldol Condensation'], 'C(C(C)=O)=O', ['53_0', 'Elimination + enol to keto'], 'C(C(CO)O)=O', ['4_0', 'Aldol Condensation'], 'C=O']
