Generation	Inchi	Smiles	Pathway
G1	FOEXHEVNPRRHDY	C(C(C(C(C(CO)O)O)N)O)=O	['C(C(C(C(C(CO)O)O)N)O)=O', ['30_0', 'Mannich Addition'], 'N']
G2	LKUVPWZWJWOYKB	C1(C(C(C(C1CO)O)O)O)=O	['C1(C(C(C(C1CO)O)O)O)=O', ['38_0', 'Aldol Condensation'], 'C(C(C(C=O)O)O)(CCO)=O', ['22_0', 'Elimination + enol to keto'], 'C(C(C(C(C(CO)O)O)O)O)=O', ['45_0', 'Aldol Condensation'], 'C(CO)=O']
G2	GZYCZKBRQBKGJW	C1(C(C(C(C(C1)O)O)O)O)=O	['C1(C(C(C(C(C1)O)O)O)O)=O', ['40_0', 'Aldol Condensation'], 'C(C(C(CC(CO)=O)O)O)=O', ['24_0', 'Elimination + enol to keto'], 'C(C(C(C(C(CO)O)O)O)O)=O', ['45_0', 'Aldol Condensation'], 'C(CO)=O']
G2	FWWLBYLLLIZJAL	C(C1C(C(C(C1O)O)O)O)=O	['C(C1C(C(C(C1O)O)O)O)=O', ['43_0', 'Aldol Condensation'], 'C(CC(C(C(C=O)O)O)O)=O', ['28_0', 'Elimination + enol to keto'], 'C(C(C(C(C(CO)O)O)O)O)=O', ['45_0', 'Aldol Condensation'], 'C(CO)=O']
G2	UQPHVQVXLPRNCX	C(CO)(C(CO)O)=O	['C(CO)(C(CO)O)=O', ['87_0', 'Keto-enol migration twice'], 'C(C(C(CO)O)O)=O', ['5_0', 'Retro Aldol'], 'C(C(C(C(C(CO)O)O)O)O)=O', ['45_0', 'Aldol Condensation'], 'C(CO)=O']
G2	ZJCIIXYSVSASQO	C(CC(C(C(CO)O)=O)O)=O	['C(CC(C(C(CO)O)=O)O)=O', ['94_0', 'Keto-enol migration twice'], 'C(CC(C(C(CO)O)O)=O)=O', ['16_0', 'Elimination + enol to keto'], 'C(C(C(C(C(CO)O)O)O)O)=O', ['45_0', 'Aldol Condensation'], 'C(CO)=O']
G2	OKVIFNQBEGMUGM	C(C(CO)=O)(CC(CO)O)=O	['C(C(CO)=O)(CC(CO)O)=O', ['96_0', 'Keto-enol migration twice'], 'C(C(C(CC(CO)O)=O)O)=O', ['18_0', 'Elimination + enol to keto'], 'C(C(C(C(C(CO)O)O)O)O)=O', ['45_0', 'Aldol Condensation'], 'C(CO)=O']
G2	LZWSFTUENIWOJY	C(C(C(CC(CO)O)O)=O)=O	['C(C(C(CC(CO)O)O)=O)=O', ['98_0', 'Keto-enol migration twice'], 'C(C(C(CC(CO)O)=O)O)=O', ['18_0', 'Elimination + enol to keto'], 'C(C(C(C(C(CO)O)O)O)O)=O', ['45_0', 'Aldol Condensation'], 'C(CO)=O']
G2	JVFNKFJEKRIBEO	C(C(CO)O)(CC(CO)=O)=O	['C(C(CO)O)(CC(CO)=O)=O', ['100_0', 'Keto-enol migration twice'], 'C(CC(C=O)O)(C(CO)O)=O', ['20_0', 'Elimination + enol to keto'], 'C(C(C(C(C(CO)O)O)O)O)=O', ['45_0', 'Aldol Condensation'], 'C(CO)=O']
G2	IIVQAABKLUTFMY	C(C(CC(C(CO)=O)O)O)=O	['C(C(CC(C(CO)=O)O)O)=O', ['102_0', 'Keto-enol migration twice'], 'C(CC(C=O)O)(C(CO)O)=O', ['20_0', 'Elimination + enol to keto'], 'C(C(C(C(C(CO)O)O)O)O)=O', ['45_0', 'Aldol Condensation'], 'C(CO)=O']
G2	RWEGJCQFZKJRNT	C(CCO)(C(C(CO)=O)O)=O	['C(CCO)(C(C(CO)=O)O)=O', ['104_0', 'Keto-enol migration twice'], 'C(C(C(C=O)O)O)(CCO)=O', ['22_0', 'Elimination + enol to keto'], 'C(C(C(C(C(CO)O)O)O)O)=O', ['45_0', 'Aldol Condensation'], 'C(CO)=O']
G2	KQLFTMYZWPHWPS	C(C(C(C(CCO)O)=O)O)=O	['C(C(C(C(CCO)O)=O)O)=O', ['106_0', 'Keto-enol migration twice'], 'C(C(C(C=O)O)O)(CCO)=O', ['22_0', 'Elimination + enol to keto'], 'C(C(C(C(C(CO)O)O)O)O)=O', ['45_0', 'Aldol Condensation'], 'C(CO)=O']
G2	QORDBZPIKABGJM	C(CO)(C(CC(CO)=O)O)=O	['C(CO)(C(CC(CO)=O)O)=O', ['108_0', 'Keto-enol migration twice'], 'C(C(C(CC(CO)=O)O)O)=O', ['24_0', 'Elimination + enol to keto'], 'C(C(C(C(C(CO)O)O)O)O)=O', ['45_0', 'Aldol Condensation'], 'C(CO)=O']
G2	ZAZMXMODCOTURY	C(C(C(CC(C=O)O)O)O)=O	['C(C(C(CC(C=O)O)O)O)=O', ['110_0', 'Keto-enol migration twice'], 'C(C(C(CC(CO)=O)O)O)=O', ['24_0', 'Elimination + enol to keto'], 'C(C(C(C(C(CO)O)O)O)O)=O', ['45_0', 'Aldol Condensation'], 'C(CO)=O']
G2	KFHNTUHHTDAEOF	C(C)(C(C(C(CO)=O)O)O)=O	['C(C)(C(C(C(CO)=O)O)O)=O', ['112_0', 'Keto-enol migration twice'], 'C(C(C(C(C(C)=O)O)O)O)=O', ['26_0', 'Elimination + enol to keto'], 'C(C(C(C(C(CO)O)O)O)O)=O', ['45_0', 'Aldol Condensation'], 'C(CO)=O']
G2	LLJOTQMGGPLNOO	C(C(C(C=O)O)O)(C(C)O)=O	['C(C(C(C=O)O)O)(C(C)O)=O', ['114_0', 'Keto-enol migration twice'], 'C(C(C(C(C(C)=O)O)O)O)=O', ['26_0', 'Elimination + enol to keto'], 'C(C(C(C(C(CO)O)O)O)O)=O', ['45_0', 'Aldol Condensation'], 'C(CO)=O']
G2	DPJVCISCLBZLDP	C(CC(C(C(CO)=O)O)O)=O	['C(CC(C(C(CO)=O)O)O)=O', ['116_0', 'Keto-enol migration twice'], 'C(CC(C(C(C=O)O)O)O)=O', ['28_0', 'Elimination + enol to keto'], 'C(C(C(C(C(CO)O)O)O)O)=O', ['45_0', 'Aldol Condensation'], 'C(CO)=O']
G2	WZDHWMRAASHPBX	C(CN)(C(CO)O)=O	['C(CN)(C(CO)O)=O', ['122_0', 'Amadori/Heyns Rearrangement'], 'N']
G2	QQXFGEUJKYXWND	C(CC(C(C(CO)O)=O)N)=O	['C(CC(C(C(CO)O)=O)N)=O', ['130_0', 'Amadori/Heyns Rearrangement'], 'N']
G2	QXITZEVATLWTSU	C(C(CN)=O)(CC(CO)O)=O	['C(C(CN)=O)(CC(CO)O)=O', ['132_0', 'Amadori/Heyns Rearrangement'], 'N']
G2	AKPTYEPQBXADSU	C(C(C(CC(CO)O)N)=O)=O	['C(C(C(CC(CO)O)N)=O)=O', ['134_0', 'Amadori/Heyns Rearrangement'], 'N']
G2	NYUCQZKJTPTIPO	C(C(CO)O)(CC(CN)=O)=O	['C(C(CO)O)(CC(CN)=O)=O', ['136_0', 'Amadori/Heyns Rearrangement'], 'N']
G2	KKYLFHXPUXAHIL	C(C(CC(C(CO)=O)N)O)=O	['C(C(CC(C(CO)=O)N)O)=O', ['138_0', 'Amadori/Heyns Rearrangement'], 'N']
G2	TWFHIZFWGIYXLI	C(CCO)(C(C(CN)=O)O)=O	['C(CCO)(C(C(CN)=O)O)=O', ['140_0', 'Amadori/Heyns Rearrangement'], 'N']
G2	CWMKSPUMOZECES	C(C(C(C(CCO)N)=O)O)=O	['C(C(C(C(CCO)N)=O)O)=O', ['142_0', 'Amadori/Heyns Rearrangement'], 'N']
G2	FQEIXDZDGYVPNN	C(CN)(C(CC(CO)=O)O)=O	['C(CN)(C(CC(CO)=O)O)=O', ['144_0', 'Amadori/Heyns Rearrangement'], 'N']
G2	VPDIKTZDHYWIDA	C(C(CC(C(C=O)O)O)N)=O	['C(C(CC(C(C=O)O)O)N)=O', ['146_0', 'Amadori/Heyns Rearrangement'], 'N']
G2	SQOIZOFSPPKOGH	C(C)(C(C(C(CN)=O)O)O)=O	['C(C)(C(C(C(CN)=O)O)O)=O', ['148_0', 'Amadori/Heyns Rearrangement'], 'N']
G2	OXDBNSYDHCFGAE	C(C(C(C=O)O)O)(C(C)N)=O	['C(C(C(C=O)O)O)(C(C)N)=O', ['150_0', 'Amadori/Heyns Rearrangement'], 'N']
G2	RWAJAMVSHPQTTE	C(CC(C(C(CN)=O)O)O)=O	['C(CC(C(C(CN)=O)O)O)=O', ['152_0', 'Amadori/Heyns Rearrangement'], 'N']
G2	UNXHWFMMPAWVPI	C(C(C(CO)O)O)O	['C(C(C(CO)O)O)O', ['158_0', 'Cannizarro 2, glucose (oxidation)'], 'O']
G2	OXFWZSUJNURRMW	C(CO)(CC(C(CO)O)O)=O	['C(CO)(CC(C(CO)O)O)=O', ['160_0', 'Cannizarro 2, glucose (oxidation)'], 'O']
G2	MSERTCQRMJDWLM	C(C(C(CO)O)O)(CCO)=O	['C(C(C(CO)O)O)(CCO)=O', ['162_0', 'Cannizarro 2, glucose (oxidation)'], 'O']
G2	ZFKOVTBOKTVFNN	C(C(CO)O)(CC(CO)O)=O	['C(C(CO)O)(CC(CO)O)=O', ['164_0', 'Cannizarro 2, glucose (oxidation)'], 'O']
G2	IXDZFGATLNCIOI	C(C)(C(C(C(CO)O)O)O)=O	['C(C)(C(C(C(CO)O)O)O)=O', ['169_0', 'Cannizarro 2, glucose (oxidation)'], 'O']
G2	VRYALKFFQXWPIH	C(CC(C(C(CO)O)O)O)=O	['C(CC(C(C(CO)O)O)O)=O', ['171_0', 'Cannizarro 2, glucose (oxidation)'], 'O']
G2	QITFYRWXWLBOON	C(C(C(C(CCO)O)O)O)=O	['C(C(C(C(CCO)O)O)O)=O', ['173_0', 'Cannizarro 2, glucose (oxidation)'], 'O']
G2	JPIJQSOTBSSVTP	C(C(C(CO)O)O)(O)=O	['C(C(C(CO)O)O)(O)=O', ['179_0', 'Cannizarro 2, glucose (reduction)'], 'O']
G2	OOMLFVGHKQXLAI	C1(CC(C(C1(CO)O)O)O)=O	['C1(CC(C(C1(CO)O)O)O)=O', ['201_0', 'Knoevenagel C'], 'C(CC(C=O)O)(C(CO)O)=O', ['20_0', 'Elimination + enol to keto'], 'C(C(C(C(C(CO)O)O)O)O)=O', ['45_0', 'Aldol Condensation'], 'C(CO)=O']
G2	KTMZJGYSSGDOQI	C(C1(C(C(CC1O)O)O)O)=O	['C(C1(C(C(CC1O)O)O)O)=O', ['203_0', 'Knoevenagel C'], 'C(CC(C(C(C=O)O)O)O)=O', ['28_0', 'Elimination + enol to keto'], 'C(C(C(C(C(CO)O)O)O)O)=O', ['45_0', 'Aldol Condensation'], 'C(CO)=O']
G2	LNCPBFQXTAGTEN	C(CC(C(C(CO)O)N)=O)=O	['C(CC(C(C(CO)O)N)=O)=O', ['210_0', 'Amadori Rearrangement'], 'N']
G2	AEIDOSPMECBBFD	C(C(C(CC(CO)O)=O)N)=O	['C(C(C(CC(CO)O)=O)N)=O', ['212_0', 'Amadori Rearrangement'], 'N']
G2	AHIYIUNMGXQPLE	C(CC(C=O)O)(C(CO)N)=O	['C(CC(C=O)O)(C(CO)N)=O', ['214_0', 'Amadori Rearrangement'], 'N']
G2	QWEHPYRKIXUATR	C(C(C(C=O)O)N)(CCO)=O	['C(C(C(C=O)O)N)(CCO)=O', ['216_0', 'Amadori Rearrangement'], 'N']
G2	IQUYTNXYQLFGFJ	C(C(C(C(C(C)=O)N)O)O)=O	['C(C(C(C(C(C)=O)N)O)O)=O', ['218_0', 'Amadori Rearrangement'], 'N']
G2	CCNHXUOYTNIIJI	C(C(C(CC(CO)=O)N)O)=O	['C(C(C(CC(CO)=O)N)O)=O', ['286_0', 'Elimination + enol to keto'], 'C(C(C(C(C(CO)O)O)N)O)=O', ['30_0', 'Mannich Addition'], 'N']
G2	MEFFHISDEHXYIV	C(C(C(C(C(C)=O)O)N)O)=O	['C(C(C(C(C(C)=O)O)N)O)=O', ['288_0', 'Elimination + enol to keto'], 'C(C(C(C(C(CO)O)O)N)O)=O', ['30_0', 'Mannich Addition'], 'N']
G2	XEBRCGAKPBATGG	C(CC(C(C(C=O)O)N)O)=O	['C(CC(C(C(C=O)O)N)O)=O', ['290_0', 'Elimination + enol to keto'], 'C(C(C(C(C(CO)O)O)N)O)=O', ['30_0', 'Mannich Addition'], 'N']
G2	WIKTYYPIOVPRBF	C1(CC(C(C(CO)O)O1)O)=O	['C1(CC(C(C(CO)O)O1)O)=O', ['292_0', 'Elimination + enol to keto'], 'C(C(C1C(C(C(O)O1)O)O)O)O', ['32_0', 'Hemiacetal Formation for 5 membered rings'], 'C(C(C(C(C(CO)O)O)O)O)=O', ['45_0', 'Aldol Condensation'], 'C(CO)=O']
G2	QMKUJGYJIQIANY	C1(COC(C(CO)O)C1O)=O	['C1(COC(C(CO)O)C1O)=O', ['294_0', 'Elimination + enol to keto'], 'C(C(C1C(C(C(O)O1)O)O)O)O', ['32_0', 'Hemiacetal Formation for 5 membered rings'], 'C(C(C(C(C(CO)O)O)O)O)=O', ['45_0', 'Aldol Condensation'], 'C(CO)=O']
G2	CTMYXQCRPPOKCU	C1(C(O)OC(C(CO)O)C1)=O	['C1(C(O)OC(C(CO)O)C1)=O', ['296_0', 'Elimination + enol to keto'], 'C(C(C1C(C(C(O)O1)O)O)O)O', ['32_0', 'Hemiacetal Formation for 5 membered rings'], 'C(C(C(C(C(CO)O)O)O)O)=O', ['45_0', 'Aldol Condensation'], 'C(CO)=O']
G2	GONGZWHRWCYDTA	C1(C(C(CO)O)OC(C1)O)=O	['C1(C(C(CO)O)OC(C1)O)=O', ['298_0', 'Elimination + enol to keto'], 'C(C(C1C(C(C(O)O1)O)O)O)O', ['32_0', 'Hemiacetal Formation for 5 membered rings'], 'C(C(C(C(C(CO)O)O)O)O)=O', ['45_0', 'Aldol Condensation'], 'C(CO)=O']
G2	VTYZWSTWPSLGHX	C(C)(C1C(C(C(O1)O)O)O)=O	['C(C)(C1C(C(C(O1)O)O)O)=O', ['300_0', 'Elimination + enol to keto'], 'C(C(C1C(C(C(O)O1)O)O)O)O', ['32_0', 'Hemiacetal Formation for 5 membered rings'], 'C(C(C(C(C(CO)O)O)O)O)=O', ['45_0', 'Aldol Condensation'], 'C(CO)=O']
G2	FSEGFALCGGGEPO	C(CC1C(C(C(O)O1)O)O)=O	['C(CC1C(C(C(O)O1)O)O)=O', ['302_0', 'Elimination + enol to keto'], 'C(C(C1C(C(C(O)O1)O)O)O)O', ['32_0', 'Hemiacetal Formation for 5 membered rings'], 'C(C(C(C(C(CO)O)O)O)O)=O', ['45_0', 'Aldol Condensation'], 'C(CO)=O']
G2	DBXNZGWNBVNDSO	C1(CC(C(C(CO)O1)O)O)=O	['C1(CC(C(C(CO)O1)O)O)=O', ['304_0', 'Elimination + enol to keto'], 'C(C1C(C(C(C(O)O1)O)O)O)O', ['34_0', 'Hemiacetal Formation for 6 membered rings'], 'C(C(C(C(C(CO)O)O)O)O)=O', ['45_0', 'Aldol Condensation'], 'C(CO)=O']
G2	OCLOLUFOLJIQDC	C1(COC(CO)C(C1O)O)=O	['C1(COC(CO)C(C1O)O)=O', ['306_0', 'Elimination + enol to keto'], 'C(C1C(C(C(C(O)O1)O)O)O)O', ['34_0', 'Hemiacetal Formation for 6 membered rings'], 'C(C(C(C(C(CO)O)O)O)O)=O', ['45_0', 'Aldol Condensation'], 'C(CO)=O']
G2	UHPMJDGOAZMIID	C1(C(O)OC(CO)C(C1)O)=O	['C1(C(O)OC(CO)C(C1)O)=O', ['308_0', 'Elimination + enol to keto'], 'C(C1C(C(C(C(O)O1)O)O)O)O', ['34_0', 'Hemiacetal Formation for 6 membered rings'], 'C(C(C(C(C(CO)O)O)O)O)=O', ['45_0', 'Aldol Condensation'], 'C(CO)=O']
G2	PVKLTCFYNBLGMN	C1(C(C(CO)OC(C1)O)O)=O	['C1(C(C(CO)OC(C1)O)O)=O', ['310_0', 'Elimination + enol to keto'], 'C(C1C(C(C(C(O)O1)O)O)O)O', ['34_0', 'Hemiacetal Formation for 6 membered rings'], 'C(C(C(C(C(CO)O)O)O)O)=O', ['45_0', 'Aldol Condensation'], 'C(CO)=O']
G2	IOFQXNNENHCUQL	C1(C(C(O)OC(CO)C1)O)=O	['C1(C(C(O)OC(CO)C1)O)=O', ['312_0', 'Elimination + enol to keto'], 'C(C1C(C(C(C(O)O1)O)O)O)O', ['34_0', 'Hemiacetal Formation for 6 membered rings'], 'C(C(C(C(C(CO)O)O)O)O)=O', ['45_0', 'Aldol Condensation'], 'C(CO)=O']
G2	NWAQREDMTHFVFF	C1(C(CO)OC(C(C1)O)O)=O	['C1(C(CO)OC(C(C1)O)O)=O', ['314_0', 'Elimination + enol to keto'], 'C(C1C(C(C(C(O)O1)O)O)O)O', ['34_0', 'Hemiacetal Formation for 6 membered rings'], 'C(C(C(C(C(CO)O)O)O)O)=O', ['45_0', 'Aldol Condensation'], 'C(CO)=O']
G2	HOHFQGCXQDHZJL	C1(CC(C(C(CO1)O)O)O)=O	['C1(CC(C(C(CO1)O)O)O)=O', ['316_0', 'Elimination + enol to keto'], 'C1C(C(C(C(C(O)O1)O)O)O)O', ['36_0', 'Hemiacetal Formation for 7 membered rings'], 'C(C(C(C(C(CO)O)O)O)O)=O', ['45_0', 'Aldol Condensation'], 'C(CO)=O']
G2	DBLLDNNAYQFXMT	C1(COCC(C(C1O)O)O)=O	['C1(COCC(C(C1O)O)O)=O', ['318_0', 'Elimination + enol to keto'], 'C1C(C(C(C(C(O)O1)O)O)O)O', ['36_0', 'Hemiacetal Formation for 7 membered rings'], 'C(C(C(C(C(CO)O)O)O)O)=O', ['45_0', 'Aldol Condensation'], 'C(CO)=O']
G2	FDUCWCLOCIPWJT	C1(C(O)OCC(C(C1)O)O)=O	['C1(C(O)OCC(C(C1)O)O)=O', ['320_0', 'Elimination + enol to keto'], 'C1C(C(C(C(C(O)O1)O)O)O)O', ['36_0', 'Hemiacetal Formation for 7 membered rings'], 'C(C(C(C(C(CO)O)O)O)O)=O', ['45_0', 'Aldol Condensation'], 'C(CO)=O']
G2	PATGLOACTPYBAI	C1(C(C(COC(C1)O)O)O)=O	['C1(C(C(COC(C1)O)O)O)=O', ['322_0', 'Elimination + enol to keto'], 'C1C(C(C(C(C(O)O1)O)O)O)O', ['36_0', 'Hemiacetal Formation for 7 membered rings'], 'C(C(C(C(C(CO)O)O)O)O)=O', ['45_0', 'Aldol Condensation'], 'C(CO)=O']
G2	KGUNYMYUWFWAAR	C1(C(C(O)OCC(C1)O)O)=O	['C1(C(C(O)OCC(C1)O)O)=O', ['324_0', 'Elimination + enol to keto'], 'C1C(C(C(C(C(O)O1)O)O)O)O', ['36_0', 'Hemiacetal Formation for 7 membered rings'], 'C(C(C(C(C(CO)O)O)O)O)=O', ['45_0', 'Aldol Condensation'], 'C(CO)=O']
G2	YYOBYHDYKCPMFE	C1(C(COC(C(C1)O)O)O)=O	['C1(C(COC(C(C1)O)O)O)=O', ['326_0', 'Elimination + enol to keto'], 'C1C(C(C(C(C(O)O1)O)O)O)O', ['36_0', 'Hemiacetal Formation for 7 membered rings'], 'C(C(C(C(C(CO)O)O)O)O)=O', ['45_0', 'Aldol Condensation'], 'C(CO)=O']
G2	KRKZFVZQYDKETD	C1(C(C(C(O)OCC1)O)O)=O	['C1(C(C(C(O)OCC1)O)O)=O', ['328_0', 'Elimination + enol to keto'], 'C1C(C(C(C(C(O)O1)O)O)O)O', ['36_0', 'Hemiacetal Formation for 7 membered rings'], 'C(C(C(C(C(CO)O)O)O)O)=O', ['45_0', 'Aldol Condensation'], 'C(CO)=O']
G2	QQYKOAFGQUCGEA	C1(COC(C(C(C1)O)O)O)=O	['C1(COC(C(C(C1)O)O)O)=O', ['330_0', 'Elimination + enol to keto'], 'C1C(C(C(C(C(O)O1)O)O)O)O', ['36_0', 'Hemiacetal Formation for 7 membered rings'], 'C(C(C(C(C(CO)O)O)O)O)=O', ['45_0', 'Aldol Condensation'], 'C(CO)=O']
G2	NTSRIUHAOCAOQN	C(C(C(CO)O)O)(N)=CC=O	['C(C(C(CO)O)O)(N)=CC=O', ['344_0', 'Elimination2'], 'C(C(C(C(C(CO)O)O)N)O)=O', ['30_0', 'Mannich Addition'], 'N']
G2	KGUHXLCVURNHSK	C(C(C(N)=CC(CO)O)O)=O	['C(C(C(N)=CC(CO)O)O)=O', ['346_0', 'Elimination2'], 'C(C(C(C(C(CO)O)O)N)O)=O', ['30_0', 'Mannich Addition'], 'N']
G2	KXMAOQJMLAAVJY	C(C(C(CO)N)O)=O	['C(C(C(CO)N)O)=O', ['359_0', 'Mannich Addition'], 'N']
G2	CFIPTNRUUCHLRU	C(C(CC(C(CO)O)N)=O)=O	['C(C(CC(C(CO)O)N)=O)=O', ['366_0', 'Mannich Addition'], 'N']
G2	OGOOLELVTMLOGV	C(CC(C(C(CO)N)O)=O)=O	['C(CC(C(C(CO)N)O)=O)=O', ['368_0', 'Mannich Addition'], 'N']
G2	CWKBVHWILPQTCU	C(C(C(CC(CO)N)=O)O)=O	['C(C(C(CC(CO)N)=O)O)=O', ['370_0', 'Mannich Addition'], 'N']
G2	NFNWRWYCUZAEON	C(CC(C=O)N)(C(CO)O)=O	['C(CC(C=O)N)(C(CO)O)=O', ['372_0', 'Mannich Addition'], 'N']
G2	FDTPCSIZIQTINL	C(CC(C=O)O)(C(CN)O)=O	['C(CC(C=O)O)(C(CN)O)=O', ['374_0', 'Mannich Addition'], 'N']
G2	RBDNNFSBBBQPHT	C(C(C(C(CCO)=O)O)N)=O	['C(C(C(C(CCO)=O)O)N)=O', ['376_0', 'Mannich Addition'], 'N']
G2	YFKHBAKJIYEAQE	C(C(C(C=O)O)O)(CCN)=O	['C(C(C(C=O)O)O)(CCN)=O', ['378_0', 'Mannich Addition'], 'N']
G2	ZROWQRUORDMNAS	C(CC(C(C(C=O)O)O)N)=O	['C(CC(C(C(C=O)O)O)N)=O', ['383_0', 'Mannich Addition'], 'N']
G2	FMAORJIQYMIRHF	C1C(C(C(O)O1)O)O	['C1C(C(C(O)O1)O)O', ['386_0', 'Hemiacetal Formation for 5 membered rings'], 'C(C(C(CO)O)O)=O', ['5_0', 'Retro Aldol'], 'C(C(C(C(C(CO)O)O)O)O)=O', ['45_0', 'Aldol Condensation'], 'C(CO)=O']
G2	XCOLHFJYVWHMEU	C(C1(CC(C(CO)O1)O)O)=O	['C(C1(CC(C(CO)O1)O)O)=O', ['393_0', 'Hemiacetal Formation for 5 membered rings'], 'C(C(CC(C(CO)O)O)=O)=O', ['14_0', 'Elimination + enol to keto'], 'C(C(C(C(C(CO)O)O)O)O)=O', ['45_0', 'Aldol Condensation'], 'C(CO)=O']
G2	OJFNRRYMUBSATR	C(CC1(C(C(CO1)O)O)O)=O	['C(CC1(C(C(CO1)O)O)O)=O', ['396_0', 'Hemiacetal Formation for 5 membered rings'], 'C(CC(C(C(CO)O)O)=O)=O', ['16_0', 'Elimination + enol to keto'], 'C(C(C(C(C(CO)O)O)O)O)=O', ['45_0', 'Aldol Condensation'], 'C(CO)=O']
G2	XSOCZPWENAPSDW	C(C(C1(CC(CO1)O)O)O)=O	['C(C(C1(CC(CO1)O)O)O)=O', ['398_0', 'Hemiacetal Formation for 5 membered rings'], 'C(C(C(CC(CO)O)=O)O)=O', ['18_0', 'Elimination + enol to keto'], 'C(C(C(C(C(CO)O)O)O)O)=O', ['45_0', 'Aldol Condensation'], 'C(CO)=O']
G2	DNFROWGDJNTHSQ	C(C1C(CC(CO)(O1)O)O)=O	['C(C1C(CC(CO)(O1)O)O)=O', ['400_0', 'Hemiacetal Formation for 5 membered rings'], 'C(C(C(CC(CO)=O)O)O)=O', ['24_0', 'Elimination + enol to keto'], 'C(C(C(C(C(CO)O)O)O)O)=O', ['45_0', 'Aldol Condensation'], 'C(CO)=O']
G2	DUPMVEXRXRIHES	C(C1C(C(C(C)(O1)O)O)O)=O	['C(C1C(C(C(C)(O1)O)O)O)=O', ['402_0', 'Hemiacetal Formation for 5 membered rings'], 'C(C(C(C(C(C)=O)O)O)O)=O', ['26_0', 'Elimination + enol to keto'], 'C(C(C(C(C(CO)O)O)O)O)=O', ['45_0', 'Aldol Condensation'], 'C(CO)=O']
G2	DLPYFNDTPUTRMF	C(C(C1C(CC(O)O1)O)O)=O	['C(C(C1C(CC(O)O1)O)O)=O', ['405_0', 'Hemiacetal Formation for 5 membered rings'], 'C(CC(C(C(C=O)O)O)O)=O', ['28_0', 'Elimination + enol to keto'], 'C(C(C(C(C(CO)O)O)O)O)=O', ['45_0', 'Aldol Condensation'], 'C(CO)=O']
G2	LBJWYRASHSNTEP	C(C1(CC(C(CO1)O)O)O)=O	['C(C1(CC(C(CO1)O)O)O)=O', ['415_0', 'Hemiacetal Formation for 6 membered rings'], 'C(C(CC(C(CO)O)O)=O)=O', ['14_0', 'Elimination + enol to keto'], 'C(C(C(C(C(CO)O)O)O)O)=O', ['45_0', 'Aldol Condensation'], 'C(CO)=O']
